HVH_010_0003_000001	t。
HVH_010_0003_000002	曾經大先生进士范立齐润正一二。
HVH_010_0003_000003	於是行兰顿首序皇朝紹治三年癸卯仲冬，穀且玄孫進士。
HVH_010_0003_000004	按察阮文理.。
HVH_010_0003_000005	33。
HVH_010_0003_000006	宗譜九例世系为家譜上先公奉有上赐並誥命者，彙為家譜中，引在其中。
HVH_010_0003_000007	大王公國音事。
HVH_010_0003_000008	外家世系事跡家譜下譜之上有圖圖，以五世一起。
HVH_010_0003_000009	此做上國潘氏宗圖法也。
HVH_010_0003_000010	自始祖而下，只称公世。
HVH_010_0003_000011	一三。
HVH_010_0003_000012	三四。
HVH_010_0003_000013	五代顺数。
HVH_010_0003_000014	此做阙里文献改也。
HVH_010_0003_000015	祖惟始祖称始。
HVH_010_0003_000016	.一。
HVH_010_0003_000017	世代據以平行為準，不拘親疎。
HVH_010_0003_000018	此参的慕澤武青。
HVH_010_0003_000019	威兴與吾金縷外族阮氏諸行之賤，則書號官则書官。
HVH_010_0003_000020	有事状者，繫日某公傳，以示後人。
HVH_010_0003_000021	考鏡。
HVH_010_0003_000022	一。
HVH_010_0003_000023	書某公房男女並書。
HVH_010_0003_000024	此做国朝宗譜也。
HVH_010_0003_000025	男書男某，临文不諱。
HVH_010_0003_000026	女某男某某公之子，書某年月日時生，或讀書。
HVH_010_0003_000027	或4。
