HVH_031_0084_0001	不肖行過五、水旱不虔誠祈禱一次過五、條奏不實、小事十過、大事酌加
HVH_031_0084_0002	祭祀不誠敬一次過十、不禁民間溺女過十、縱奸詐騙不問過十、渠
HVH_031_0084_0003	堤不修民田不利過十、服毒自縊投水人命原無威迫妄揑燒
HVH_031_0084_0004	埋銀以長世俗輕生圖賴惡習過五十、事不即决淹禁停滯致
HVH_031_0084_0005	使輾轉牽連拖累無辜破人身家一案過五十、人命不即檢驗
HVH_031_0084_0006	定案致招供出入拖累無辜過五十、受人付託以致枉法過五十、
HVH_031_0084_0007	逢迎權勢寬抑平民過五十、定招不開生路只求免駁過五十、縱
HVH_031_0084_0008	子弟僕役欺壓平民過五十、聽信左右指撥害人過百、抑一人冤
HVH_031_0084_0009	功過格校編
HVH_031_0084_0010	附訂居官格
HVH_031_0084_0011	八十三
HVH_031_0084_0012	過百、致拖斃一人過百、縱賊過百、不修城池過百、下情不伸上澤不逮
HVH_031_0084_0013	過百、河堤修不堅固致有决害過百、遇災不申詳遇賑而吝嗇過百、
HVH_031_0084_0014	縱令約保兵役滋事擾民過百、縱役唆盜誣扳過百、情罪未真誤
HVH_031_0084_0015	杖死人過百、人命不即檢驗致死屍腐爛遭蒸刷之慘過百、暴殄
HVH_031_0084_0016	天物致啟奢靡不遏、邪淫暗傷風化過百、獲盜不即親審定案
HVH_031_0084_0017	以致奸盜漏網扳累者待斃一案過百、開報生員優劣不確使
HVH_031_0084_0018	勸戒無由士習日壞過百、擅自加派錢糧使小民有賠累之苦
HVH_031_0084_0019	過千、地方利害明知應興應革不肯出身擔當反爲多方阻遏
