HVH_016_0028_0001	道志或言漆
HVH_016_0028_0002	癸未二十四日收復懷安府協成
HVH_016_0028_0003	遭乱周回三父子 伺官收復一江山 喜而不寐猶白首 待旦逢人
HVH_016_0028_0004	共笑看
HVH_016_0028_0005	自古雖聚首 人生幾相逢 歓声还似假 喜哭不經中 宿昔心心有
HVH_016_0028_0006	功名我志同 黙莊他日月 造化假人工
HVH_016_0028_0007	寄寄岩公子阮貞棟詩 共五首
HVH_016_0028_0008	書堂元生細思量 天地生吾有吉祥 弧矢如人期有年 廟堂如今合
HVH_016_0028_0009	日競称已饒他 曾経綸手幸遺編 翰墨書生後 古来空枉嘆
HVH_016_0028_0010	和波路上自卿卿
HVH_016_0028_0011	好向蒼夜得效枝 誰知天意起人思 庄中憶友三更梦 天外歸懐一
HVH_016_0028_0012	軸詩 書劔吾生何日 江山旧約已忘情 嵐峰無碍依然在 鴻信
HVH_016_0028_0013	鱼書共寄数
HVH_016_0028_0014	别後竜城久掩廬 魚箋遠送起懐人 詩情欲遣依絃寓 和章
HVH_016_0028_0015	沸歳喜和派渺濔 心曾我共雲山満 目更淮輸江楼指點畫
HVH_016_0028_0016	相憐幾得三人共把茱
