HVH_005_0024_000001	立为蛮王，官名模，南奔乞師，南主祖高。
HVH_005_0024_000002	2。
HVH_005_0024_000003	第二十篇人之来印度支那東洋0。
HVH_005_0024_000004	湖西南之交，肇七世六岁，纪，當在阮。
HVH_005_0024_000005	郑用伊之辰。
HVH_005_0024_000006	0。
HVH_005_0024_000007	是葡萄牙来，東北风，自澳门至西班牙，自麻里至大法员人，自印度至县辰，政人已居亚细之东，其同津。
HVH_005_0024_000008	印变支那，自把公理耳。
HVH_005_0024_000009	於。
HVH_005_0024_000010	0，各国站立商埠，坡铺会南省，其辰贸易盛，以为最甚密。
HVH_005_0024_000011	其世葡交尤親一千六百美。
HVH_005_0024_000012	葡人多要其螺间商店于顺化多附近，又立鑄砲，顾其地号阮氏，審近攻策，为取攻郑益女解典人推結。
HVH_005_0024_000013	24，也在一千六百二十七年，其前十集人已至北交易，乃未能立一永商废，何也？
HVH_005_0024_000014	仙商至地均在長崎者，其事即派旗惊駛，问北通商。
HVH_005_0024_000015	西正月三土目，自日本啟行，三月首至坡，仅一月，补载：北交通反，一千六百三十五年，日政下禁令，國人有三島南典处人通商者，处以極刑。
HVH_005_0024_000016	荷商会主省会，不县城门有二千家。
HVH_005_0024_000017	中国日暹请商集尚定。
HVH_005_0024_000018	海陽诸省会，联路交易人千层，货船入耳河，五月初九日入竭政府，至七月初二日，自北返，明年再至，立商店于岸去。
HVH_005_0024_000019	今乡安心，無所左在。
HVH_005_0024_000020	祖敬只含糊覆而己。
HVH_005_0024_000021	至一千百四年，事机来迎，人欲持两策，向有的奇商業聚盛。
HVH_005_0024_000022	郑见高人，即露求援主意。
HVH_005_0024_000023	惟人既欲横引北商務，又欲保守南了利，再来经商，至呈，一去不復返矣。
HVH_005_0024_000024	一千六百六十三年，人已去，一千六百六十五年，不能门，遣輪二艘遊南圳海岸。
HVH_005_0024_000025	阮氏艦隊東汇艦二艘，人既殿，亦不復派援策北斯人。
HVH_005_0024_000026	荷蘭交涉日滋，轉，人不勝悔恨。
HVH_005_0024_000027	一千七百年，竟商店而去。
HVH_005_0024_000028	人留居南邦，徒儿十年。
HVH_005_0024_000029	是辰，在印度支那都境，人顺，已立大商员法，欲世人五市。
HVH_005_0024_000030	一千六百七十二年，国股艦航至地，艦中有度商会委人乞闸商局，朝廷华下興安，立方人藏市者二十五年，商業不進，知一千六百九十七年十一月，移繁Q。
HVH_005_0024_000031	十五年（北誌自颇有低贵價值。
HVH_005_0024_000032	大法東印度商会于一千日回年，会人谋杯市場印度支那及中国商務牛耳吳人来辰大法典葡请人，国俱已捷先登矣。
HVH_005_0024_000033	聘繁献于茶，皇带值残一千二百醇当法钱三天郎，己为人所执一千百二年，法船一隻，自退至北，估冒茶去，乃使舟3航海来也，便貢国書及
