HVH_012_0015_0001	安胃飲 治胃火立衝 呕逆不止
HVH_012_0015_0002	陳皮 山楂 麥芽 木通 澤瀉
HVH_012_0015_0003	黃芩 石斛
HVH_012_0015_0004	六安煎 治水虧火盛 六脉浮洪 傷及少陰
HVH_012_0015_0005	不足 陽明有餘 煩熱 乾渴 頭痛 等症
HVH_012_0015_0006	失血等証
HVH_012_0015_0007	生石膏 三錢 熟地 五錢 麥冬 二錢 知母 半錢
HVH_012_0015_0008	大清飲 治胃火 煩熱 狂斑 嘔吐 等証 可為
HVH_012_0015_0009	白虎湯之代用
HVH_012_0015_0010	知母 石斛 木通 各半 石膏 生用
HVH_012_0015_0011	綠豆殼 凡熱極熱者 諸火熱甚 不能退
HVH_012_0015_0012	者 用此最妙 用綠豆不拘升數 寬湯
HVH_012_0015_0013	煮 熟 爛 入 鹽 少許 或 蜜 亦 可 待 水
HVH_012_0015_0014	冷 或 溫 或 凉 或 渴 任意 飲食之
HVH_012_0015_0015	玉泉散 亦名 一之甘露散
HVH_012_0015_0016	治 陽明 大熱 煩渴 頭痛 二便 閉結 溫
HVH_012_0015_0017	疫 斑黃 及 瘧 痰 喘 咳 等 証
HVH_012_0015_0018	石膏 六錢 生用 甘草 一錢 加 硃砂 三分
