HVH_005_0032_000001	其欺隐多效，科之有能考覺者，赏回官好。
HVH_005_0032_000002	初且申買索公田禁，史有云：新政院行，民皆称便。
HVH_005_0032_000003	又定通租，其里長按辰常承後，其主法也，不得不就其洛民也，未不宽出公努票布服赐负，民，每年必赦税，水旱蝗虫必復，其田租三四或半减，或全被多少，差率差大，则财源所入，非但取田有碳產，税户都盟年有增加。
HVH_005_0032_000004	北。
HVH_005_0032_000005	廣。
HVH_005_0032_000006	大。
HVH_005_0032_000007	高平。
HVH_005_0032_000008	太原。
HVH_005_0032_000009	光盛國税，以物存所部代表员以官價買。
HVH_005_0032_000010	又于海港立商政局，主征外货入口。
HVH_005_0032_000011	或有彼港移港者，其在北八诸货，按项取百分三半，外船進口税，共出口起意東者同三大小。
HVH_005_0032_000012	32为华科取度銀费至一千八百十九年，税项九角輪来自澳门及大法国微取都监造幣及金銀幣價定自上设局，北城用華人董甚事人请鑄青，许侨督持换，多有室砖，乃隆十年，增键一两銀锭，科保最为详密。
HVH_005_0032_000013	後置官监察乡，且定零章，有毁一百三婚，值铜一百婚，銀钱則定每銅一斤，鑄七百文。
HVH_005_0032_000014	又之造銀法，心便交易，初只有銀值二十八，銀，铁减銀色者，論如法。
HVH_005_0032_000015	又鑄十两，世一雨金锭，每全向一當銀两十七。
HVH_005_0032_000016	又定贸易金銀律：北殖產类合输公庫九人販金银为举者设候以限制。
HVH_005_0032_000017	又禁遵回中国，则他国商船如不得藉故收金銀。
HVH_005_0032_000018	兰。
HVH_005_0032_000019	调幣市禁带出港犯者籍没，所買乡金卖者役司空。
HVH_005_0032_000020	同刑，官吏多兼牧民，坐判未免周章，改而更张。
HVH_005_0032_000021	美此为甚急，且有代制命刑政。
HVH_005_0032_000022	朝律是已不復用前此例序文南国者方刊，不过改已，曾不思考。
HVH_005_0032_000023	南国潮乡法律，世夫風俗習惯損益，内則巴要法律尔群训遵自今九有要必明于中。
HVH_005_0032_000024	其克母律且即已有用。
HVH_005_0032_000025	嘉隆十年七月，宣新律，至十四年七月，下功典，须赐银衣服有差，宴锦云地，圳军汗马，百戰劳功高博士多擢之，軍改。
HVH_005_0032_000026	年视为第一，总則賜美，共其二也。
HVH_005_0032_000027	帝既定，顺京錫甚及一千八百二年，河下行，不但市又整送兵制和径戎者不可腾，即用武，皆野萊则机来者也。
HVH_005_0032_000028	忠。
HVH_005_0032_000029	其下令，每七人出一充经制兵，每兵或县家公田一，又置奇为地市官统帥。
HVH_005_0032_000030	北宣。
HVH_005_0032_000031	党化。
HVH_005_0032_000032	高平山。
HVH_005_0032_000033	太原。
HVH_005_0032_000034	河源诸辖十丁，只一卒，号土兵，省家统乡若一軍，每年八奇，每奇十隊，每际人年有隊。
HVH_005_0032_000035	又设宿術军九三萬人，兼有步。
HVH_005_0032_000036	京师各机有中里世前秘左牵都统，前已与都院
