HVH_027_0016_0001	祖妣没時門帘有對聯未挽云。
HVH_027_0016_0002	立雪何年最恥非聞師姆訓。
HVH_027_0016_0003	奠芻此日施哀無限小生悲。
HVH_027_0016_0004	可見祖妣生時祖妣視小子亦猶生子焉耳矣。
HVH_027_0016_0005	先祖考生於壬寅年伍月貳拾叁日酉時。
HVH_027_0016_0006	享齡陸拾柒歲卒於戊申年陸月初肆日己時。
HVH_027_0016_0007	先祖考（算拾叁）鄉文會甲鄉政鄉老上上壽朱公諱顯字微之號金崙府君。
HVH_027_0016_0008	（拾伍）陸月初肆日忌。
HVH_027_0016_0009	墓在本村舄山處。
HVH_027_0016_0010	先祖妣生於辛丑年玖月貳拾日子時。
HVH_027_0016_0011	享齡捌拾貳歲卒於壬戌年拾月初伍日戌時。
HVH_027_0016_0012	先祖妣鄉文會甲鄉政鄉老上上壽朱公正室范氏三號貞慎孺人。
HVH_027_0016_0013	拾月初伍日忌。
HVH_027_0016_0014	墓在本村舄山處。
HVH_027_0016_0015	生下男叁人。
