HVH_020_0067_0001	麻衣而徒行其偽其屨而祇盖其諛季齊人飾公孫敖之棺孟氏望叔
HVH_020_0067_0002	孫氏之旌 为国子之元置之新医告下邑之急追示生書
HVH_020_0067_0003	建厖凉之輪中寇宁之盾朱儒堂之弓射顏高之矢 公若獻弓襄仲
HVH_020_0067_0004	辟玉 帶之烈也其禄錦之縛也如絏 雖有挈瓶之智守井之甌
HVH_020_0067_0005	置介之御 擊鐸設兵與仲壬以環 郈氏鬬而金為之距聲伯泣
HVH_020_0067_0006	而愧盈其怀 司鐸契敬叔出柳書飛隼集孔子辨楛矢 季孫具
HVH_020_0067_0007	從者之衣屨歲以使五人以弋楯 季文子之妾不衣其帛公僎之婦
HVH_020_0067_0008	且備其機 为父買帷而復命子賤鳴琴以治邑 南蒯董褐共鼎
HVH_020_0067_0009	衍賜羔裘 甗馬以予宋之喪衣錦而見国之宰 为父之为及璧藏賈
HVH_020_0067_0010	龍岡 以上器具門 藏板
HVH_020_0067_0011	之出在鑄
HVH_020_0067_0012	器具 卞莊禽兎季氏介雞 孟之反不伐而策馬公儀子不受夫遺魚
HVH_020_0067_0013	懿子咸釋意之賈穆叔共瘞兕之斝 鴳也鴃也鵽之鵠之
HVH_020_0067_0014	磥藏石以牛獻季孫以馬 怒馬則畔生於季奉雉則禍揚於叔
HVH_020_0067_0015	釁起鬬雞竟釋公徒之甲誄開巢鴃徒徵外野之禓 臧會竊龜
HVH_020_0067_0016	平子賈馬 武伯鬬馬於成叔孫請徇於晉 叔孫請慶封歌茅鴟
HVH_020_0067_0017	與相鼠昭子見郊子問鳥官與龍師 叔孫拜免鳴武子歌魚麗
HVH_020_0067_0018	鷹鸇之言傳於行父虀蠆之毒貽於介堲臧文中 狐裘致敗佩貽雞題
HVH_020_0067_0019	受魯人之譭似鼠豈其非鼠賓潰隱辟齊邑之田臧武仲馬矢可哩奪其
