sentence_id	sentence
HVH_001_000001	爱州和正先生録VIO法辰第一未竜第二水口种未详東来水改西方南来放批350696121秘方麻盘丑未展成四方意水口活買左旋收右边若朋脉右收边左才看水口办童来如法长无身景来竟莫吏阻街東分支依巡用貼微让边
HVH_001_000002	开心出帳意连貴山家剑辰生水挺歌廊界高一寸為山来变化旋童我广仍凍为貝美竜来竜骨共问祖尋宗朱详竟行带庫带倉凭富贵色停生得重厚相形方圆竜行带带砚小形火連文星生得清秀奇形文章盖世科各当展竜行带鼓带旗長長创
HVH_001_000003	成雄强生得武勇当局公貴爵富貴欢家成雄竜行偏重左边長支连盛连席衰行偏风边云重行竜分配红边均青方正诸偏邪意長次顺和長支水规坤奈貧天庄台行短小强加刑戮用之吹天辰连登長辰庄台後竜己高醇若朋低薄辰庄佳風吹
HVH_001_000004	竜真席庄分支無氣己辰食高强雄急更强起麻伏竜元無用伏老起易竜死死更用之未竜固分支边顺竜催吏計排此貼顺辰面向南天上分下合面前相交竜砂了结乙辰交脉辰帳穿心蝉翼和斤伸童贵公台向回頭朝拱庄虎砍了个排朝食坐穴
HVH_001_000005	加青庄差竜诺自来發源诺长八依相交支玄曲朝顺童法火市同差分生得放荡湾荒离亲祖终塘牢城面前水遠千尋長行合朝街顺竜法色岐回竜尼穴朝術祖宗法辰北向露空鲤运朱停遇面前麻房祖山托砂高章余游边玄武辰强数章行和体
HVH_001_000006	祖宗爆詳發源水直到堂改術言武福许绵延護砍辰度青眉妄回童顾祖余侯鄧台诸兮竟虎插非回童無虎己局拱钱回不論竜边護砂辰拱青眉余皮水前合後清意果結久平初色傳水劫己辰假竜鲤赤诸貨祖宗帷固结穴双空鄧右来麻庄数诺
HVH_001_000007	席诸合術数意假穴清侯用之堂前诺让証梦风吹左边護庄固诸钱左来庄固右護托己假仍蒸坦长麻用生得残疾努天傷回竜长色計詳横左1-方麻盘童辰横去教昂离身没平美生支後童维群教右旋收诺左来内堂活长沸外通欧交拱左
HVH_001_000008	水让佛戈面竜回化案青眉台畏顺行更固護砂运童作案己差3色饒枝合頭通伙内城外廊色内堂外案界横童護山凭形果君更生文掩心界石臂守身年养竜自一节四頭托山應護加均措右水到相左交弯5客案吏高外堂發得富貴霸即特貴
HVH_001_000009	题吏强旺丁浪一案有荣恒八依虎頭诗立拱外竜砂左水到右举交劳右臂佛戈外堂左横辰發长支右横催吏計接章辰右到诺辰左来色饒辰拱托落後竜雄強离身一即穿昂突虎頭化相交護身吏應如色边外脉辰突自右来掩山边左开内堂虎
HVH_001_000010	砍水到洋洋诺知皮合颈前案沸街左边石横法色安吹支富贵威椎合拱左水吏右經後竜宛吏左迎脉辰陸續带连朝術微庄抱乙展假童色皖坦用生得萬败介穷兵刀东西离埃當横竜庄固托山界鲁臂群食之竜行诺吏下傷牢别竜庄兑市群
HVH_001_000011	台山行诺吏让右庄到左已顺左横空右来辰诺横東西来横左本调法初横竜法色详暑尼堂右庄到堂無托强添欧色镜莫求油固形穴己秩个包镜雨水举边让外高有一高又朱组斯镇號界堂水天心内堂法市斯庄除辰法吏左来右是异法平中
HVH_001_000012	堂水贴皮余台有堂云穴色苔無堂無穴乙庄城堂界水聚貴台穴辰氣高内堂紫急台无兴辰皮皮格艾各外堂吾業插行堂水强命台外堂接尔醇朱或潭或域江湖容特萬千舟插非床艾界恒掌文界牛眼界水聚面前真童法色傳水口展塘市山
HVH_001_000013	镇水口朱高磋尼水放鹰内宫如芳宴果真竜若诺聪朝街路之朱企暴效辰開锁交牙形加利伸鲁堂水乙空穴形朋加水无情维固假形拱渚貼之麻移水不回顧徒之假童内堂广遇庄冬拱界假穴渚用欧朋空少串遇外活江庄食坦空水口加沟空
