HVH_010_0067_000001	女衍，生子，男四女三，生子，男五女三，嫁典仁。
HVH_010_0067_000002	青娥。
HVH_010_0067_000003	下村陳姓名德豪。
HVH_010_0067_000004	6F女究，生子，男三女三，嫁延河社。
HVH_010_0067_000005	生徒黎，姓名廷岸，嫁延河社总豪黎姓名廷碧。
HVH_010_0067_000006	女咺，生男二女。
HVH_010_0067_000007	一。
HVH_010_0067_000008	先郡公孙行按：公既遷桐門属安，勢不得而書之也。
HVH_010_0067_000009	三陽公之太原。
HVH_010_0067_000010	富平公之延河。
HVH_010_0067_000011	林公之共武，皆是遷居。
HVH_010_0067_000012	然地近不出一月可至。
HVH_010_0067_000013	譜，仍書桐门，不他日亦易。
HVH_010_0067_000014	尋認書標之，以指禪公出鄉子孫。
HVH_010_0067_000015	三陽公房舍為醫訓。
HVH_010_0067_000016	蒙四月八日卒，言"家世本儒，失学，是為失业。
HVH_010_0067_000017	嘗聞諸先公云"且学所以学為人也。
HVH_010_0067_000018	科第在所緩。
HVH_010_0067_000019	自謂山間居士，仍居利蒸。
HVH_010_0067_000020	在利舍。
