HVH_013_0095_0001	禪讓雖不同而同於中矣論孟之末歷叙辟聖所明道統之相傳道一也而文
HVH_013_0095_0002	以謨顯武以烈承知行之切己有異故述其政事之寔則言武而不及文以行道意是迹
HVH_013_0095_0003	其聞知之真則言文而不及武以知道意是謝氏之說信然孟子既没而斯道无傳
HVH_013_0095_0004	戰國嬴秦暨世教不明學術攘駁離或雜乎中而入於佛老虚無通乎
HVH_013_0095_0005	中而失於中則申韓也固不足以通道矣幾幾於道其董子乎董子漢儒之
HVH_013_0095_0006	最醇也明道之言度越諸子昌黎學者之泰山原道一篇可鑰天下當
HVH_013_0095_0007	佛老申韓之說熾而有此護論相望於漢唐矣然生質爲性之言只是說
HVH_013_0095_0008	氣而遺理則其說得鶻突不足以紹心法之傳博愛爲仁之說只是見
HVH_013_0095_0009	用而遺体則其學欠源頭不足以負斯文之寄此韓氏之功著於一代而无以當
HVH_013_0095_0010	傳道之責也千載而後覺我人至宋而周濓溪出不由師傳默契道
HVH_013_0095_0011	体上祖羲黄之易著太極一圖自一而二自二而五推至於萬物其與易之自
HVH_013_0095_0012	一而二自二而至六十四卦相爲表裏二程見而知之易傳通書發明蘊奥
HVH_013_0095_0013	而千載絕學始有依歸河洛之間斯文洋洋又與洙泗孟伊洛道喪傳者
HVH_013_0095_0014	多失其真圖書闌入僞者迹易道又幾於晦朱子勃興摭前聖之精微
HVH_013_0095_0015	破俗學之僞妄本義有作啟蒙有著皆所以闡揚乎太極之理先聖賢相
HVH_013_0095_0016	傳之道在繼周程者至朱子而益明非有大造於世乎謝氏所以獨称之也
