HVH_003_0030_000001	所安。
HVH_003_0030_000002	世出卿相位刘文班四域至寒，其竜最强。
HVH_003_0030_000003	山来顿跌，水聚江洋，生科甲位至俊。
HVH_003_0030_000004	王四平浪，吉地可来。
HVH_003_0030_000005	青意层四白虎云頭山来如馬跡，形似鳳翔。
HVH_003_0030_000006	公從中腹，乘阳取陽辰清污縣亲，清污不税，刻轉已来芳如轴，形似花。
HVH_003_0030_000007	闲有有世出公族。
HVH_003_0030_000008	三西鼓前有三台神童在关，贡印在兑。
HVH_003_0030_000009	群山拱位列台阶，富贵壽考天地安辣後九曲入依竞虎弯。
HVH_003_0030_000010	进友右纪四唐轩天下鄧舍，水选千里，竞来童虎带印旗，教列补速珠化案泉水聚脉连鱼火水，老虾食胎武專间師，文报科臺，别有怪究，百藝业才常生秀工巧龙传黄次贵地山现球，眉屏帐皓深，竞虎交施。
HVH_003_0030_000011	山聚水聚，主随客随土星朝案。
HVH_003_0030_000012	金球流支，竜头莫精，花心可依，前尽卿相後王
