HVH_024_0049_0001	端泰 丙戌科進士 仕至太常侍卿
HVH_024_0049_0002	興治 己丑科進士 仕至監察御史效順
HVH_024_0049_0003	陶麟角 墨林社
HVH_024_0049_0004	范曰俊 冪川社
HVH_024_0049_0005	青林風物詩云
HVH_024_0049_0006	古来勝地貴由天 人傑旋生歴代傳
HVH_024_0049_0007	榜眼梅花呈紫閣 状元進士満黄蒲
HVH_024_0049_0008	英雄科名啟自先 步地鍾英存旺氣 迨臨山斗仰尊賢
HVH_024_0049_0009	青林縣先賢歷朝歷科登第進士第並称号姓名年生成爵記篤如左
HVH_024_0049_0010	陳朝辰成法徒署每科只載三元等若具在下諸君不載是以及其名中其科不古今迹
HVH_024_0049_0011	陳朝太尊元豐丙辰科取甲三名
HVH_024_0049_0012	汪乃社陳國初 丙國伏元尚此稠兮主今为本社城隍纒迫大王又贈英烈大王
HVH_024_0049_0013	聖宗紹隆丙寅科取甲七名
HVH_024_0049_0014	金美閭社 黄東賦謚 状元白公遼先生
HVH_024_0049_0015	後仕施合社
HVH_024_0049_0016	古性明敏甞記讀書十行俱下居上福年老放官
HVH_024_0049_0017	又兵途为门客竟不仕今祀为福神
HVH_024_0049_0018	果吉洋集科
HVH_024_0049_0019	賴下社礼部尚書魏姓諱阮先生
HVH_024_0049_0020	阮詮 官任院字隆庄十一年盧江有難迫至仁尊命刑部尚書阮詮為檄伝之江中難 乃自去守以其事煩諦念效賜社韓分又臣因読詩賦敢我国店職旡用因復自效
