HVH_005_0020_000001	四年，央祸始息。
HVH_005_0020_000002	第一辰期，第二辰，期一千六百二年，年，阮。
HVH_005_0020_000003	郑两開来一年边。
HVH_005_0020_000004	自是辰，干戈相是，直至一千六百七。
HVH_005_0020_000005	一千七百七十四年，西山为阮氏患，郑来，其做共尋未，西山倡鄭，又不得不自为；。
HVH_005_0020_000006	懂飛揚，发扈力六廷，阮则单路楼领域南Q一千七百七十，为休戰，代二民戰争，详细事状，不遑救羊。
HVH_005_0020_000007	今姑即希嘉等陽三年。
HVH_005_0020_000008	0，教首事之人物，世通來三大变，成败结局一千六百十三年，嘉公子福追寺守。
HVH_005_0020_000009	。
HVH_005_0020_000010	第十八孝文皇帝嗣，是为仁王。
HVH_005_0020_000011	王有二弟，终基，受郊章二年，至一千六百七十四年。
HVH_005_0020_000012	20，助吾未至，王已平其一千六百二十年也。
HVH_005_0020_000013	後致年氏包茅不入，鄭以此兵雨軍文按于師淄郊南市州，今市洋，鄭兵進城南，兵忠共力引还，留一隊，市一千百三四年，辰，有叛，潜不其首谋，即王子漢也。
HVH_005_0020_000014	乞朔今澤e绝根株。
HVH_005_0020_000015	。
HVH_005_0020_000016	明年冬，仁王先是，子早汉，王立公上王为世子，至是立不服，课变。
HVH_005_0020_000017	公上王讨擒捕四第下狱，敬加已方，非上策也。
HVH_005_0020_000018	王不出，强人出師，取北政，長地，前称乡。
HVH_005_0020_000019	1。
HVH_005_0020_000020	林球王见国家殷课伐鄭，飞阀步，時加训德。
HVH_005_0020_000021	一日，舟至澳，懒以为射的軍士船習射，辰七月，精者全自星海荤一情来，一千六百四十三年，一千六百四十八年，郑再举入寇，覆小勝，長驱至長盲城。
HVH_005_0020_000022	市南鎮守张福奋世，其子城死，抗敵兵魄。
HVH_005_0020_000023	頃之，公上王追手神子百五十五。
HVH_005_0020_000024	五年，郑将实入南市，王修朔相持，互六年。
HVH_005_0020_000025	市。
HVH_005_0020_000026	1，立以後七年，南北兵，王得甲相而一千六。
HVH_005_0020_000027	開戰有進學报主。
HVH_005_0020_000028	鄭大驚，益遣隊入世。
HVH_005_0020_000029	子次子全视師。
HVH_005_0020_000030	全年尚火機，为士所信。
HVH_005_0020_000031	南年谋山南，北軍奋激抵禦，促南方。
HVH_005_0020_000032	鄭全小覆，戰捷，究亦阁勝敗数主一千六百五十:。
HVH_005_0020_000033	年秋初，刺軍尚黄于水江三北县。
HVH_005_0020_000034	年冬，桃病，馬急，名还河内。
HVH_005_0020_000035	林全有翼志，遣子鄭根鄭
