HVH_023_0043_0001	制藝精華二編卷之九
HVH_023_0043_0002	禮制部
HVH_023_0043_0003	禮制
HVH_023_0043_0004	黼黻文章已著 褐裘而予也爲未斂習礼何請予子族被髮而奈
HVH_023_0043_0005	也知將亡無禮早汎於季友 揚藻采於三辰識禍亡於二子 夙夜但天
HVH_023_0043_0006	其寅清孝爭何煩于申告 以上干支門
HVH_023_0043_0007	節文有度升降有儀 率履不越撙節鳴謙 黄履元吉白賁无咎素
HVH_023_0043_0008	履無愆 追古制於乾坤卜後安於履泰 謙而有制履貴以和
HVH_023_0043_0009	叶考祥於視履誦保人於巫咸 以上卦名門
HVH_023_0043_0010	龍岡 卷之九 禮制
HVH_023_0043_0011	問俎豆於東家訪章程於西序 封東樓而僅留小正答西韲而未失為差
HVH_023_0043_0012	青圭禮東赤璋禮南白琥禮西黑璜禮北 以上方位門
HVH_023_0043_0013	五惇叙謨八則馭民六典和國 秩宗之典禮以三宗伯之掌禮以五司徒之修
HVH_023_0043_0014	禮以六 官叙以百族和以三 晉老見叔向知二君之不免知伯見司馬識
HVH_023_0043_0015	二子之皆亡 鋪張者侈陳八十物 籩豆之玉皃比者如考三百官庶績之功
HVH_023_0043_0016	經禮三百曲禮三千 向戌獻公諸侯之禮六子產獻伯會子男之禮六
HVH_023_0043_0017	以上數目門
