HVH_019_0066_0001	渡河正讀史之訛，賔牆獲從遊之益。
HVH_019_0066_0002	(以上子夏) 以上地輿門寫仁則克予，己說言則助予。
HVH_019_0066_0003	顏淵奉申相卅仇之䍧。
HVH_019_0066_0004	賢子來，公孫之襃子貢清之戰則獲其甲，荊之役則用以申，冉有未入於室，子登其庭未之能行，惟恐有子之敓往，如之何。
HVH_019_0066_0005	(以上子路) 好與，賢已，處女為君子儒。
HVH_019_0066_0006	生申數周王之德，哭子受曾子之規。
HVH_019_0066_0007	(以上子夏) 除喪而異，子夏特稱制禮於先王，既病而召申，詳自信能終之君子。
HVH_019_0066_0008	(子張) 朋子者夫堂，有私請庚者恐難為。
HVH_019_0066_0009	(子羔) 以上干支門東野之善御，弗為北遊之言，志有顧。
HVH_019_0066_0010	(顏淵) 禮辨西奠之位，泣增北向之悲。
HVH_019_0066_0011	(曾子) 於衛，憲東境之賢；於魯，下北面之䍧。
HVH_019_0066_0012	(子思) 北見晉君，南見吳王。
HVH_019_0066_0013	(子貢) 斬而用之，誓如伫於南山，廢也忽焉。
HVH_019_0066_0014	戒暴音於北鄙。
HVH_019_0066_0015	(子路) 龍岡藏板小斂於東方，市弦歌於南土。
HVH_019_0066_0016	(南面立, 嫡) 東國從師。
HVH_019_0066_0017	(南方之學, 獨)得菁華，東魯之莫允，推豪傑。
HVH_019_0066_0018	(以上子游) 以上方位門不貳過，可謂好學矣。
HVH_019_0066_0019	不遠復，其殆庶幾，予不改節，所以為仁也。
HVH_019_0066_0020	(顏淵)淵惕臨深，水懲履薄。
HVH_019_0066_0021	(曾子) 行不復怨，簡以臨民。
HVH_019_0066_0022	(敕) 逼而得政之道，榦蠱而蓋父之愆。
HVH_019_0066_0023	(以上仲弓) 既與難而從師，豈救人而入井。
HVH_019_0066_0024	(埋於泰)昭祖於坎壇。
HVH_019_0066_0025	(以上宰我) 睹此怨君，受弓而對，陳恒館客，為邑以成觀蜡而樂，北玉故貴。
HVH_019_0066_0026	(以上子貢) 師從五日，比及三年。
HVH_019_0066_0027	(與之釜與之庾為)友請益也。
HVH_019_0066_0028	出於柙，毀於櫝，是誰之過與。
HVH_019_0066_0029	(不忘賔旅何代東漢...)
