HVH_013_0046_0001	春風中。
HVH_013_0046_0002	然不喜與爲寬仁之政，討攻及即萬姓仰思霽出，然不喜爲父母之仁。
HVH_013_0046_0003	商周所以得民者得其心也。
HVH_013_0046_0004	戰國之君何爲乎，爲候敵於功利之私，平雞鑿田以得渠者富國，武士咸乎所謀者強兵，以富強爲富強，此戰國之所以終於戰國也。
HVH_013_0046_0005	故及其本，養民非爲民之意發乎五畝之宅。
HVH_013_0046_0006	百畝之田，民產之所以有恒也，得耕耘勿奪其時則不飢不寒之民。
HVH_013_0046_0007	菽粟多於水火，不期富而富也。
HVH_013_0046_0008	庠序之教，孝弟之義，民心之所以齊恒也。
HVH_013_0046_0009	明教化而使之復性，則事親事長之眾，制梃可以撻秦楚甲兵，不期強而強也。
HVH_013_0046_0010	孟子告齊梁之君，以養民爲務，彼時如不合，自是農之敵國耳。
HVH_013_0046_0011	豈真說之不合在於嗟乎。
HVH_013_0046_0012	孟子有致王之政，而空言无所施，誠可爲痛展一憤也。
HVH_013_0046_0013	信能行此，則鄰國之民仰之如父母，火熱水深之窮，特必翕然而爲迎湯後武之民。
HVH_013_0046_0014	民之歸仁，如水之就下，獸之走壙，而沛乎莫之能禦，三代得民之效，可復見於戰國之時矣。
HVH_013_0046_0015	一夫秦人苛酷，民之怨久矣。
HVH_013_0046_0016	高祖所以來爲父老除害，求所以解倒懸，則拯溺救焚，不可緩，除苛而見於關中，來王之始，其得湯武憂民之理乎。
HVH_013_0046_0017	五季凶荒，民之苦極矣，太祖以聖主以四海爲己憂，求所以蘇民瘼，則寒者衣，飢者食，亦所當先賑貸而見於初得國之晨。
HVH_013_0046_0018	其於武王散財發粟，何異乎？
HVH_013_0046_0019	亦見三章之約，出於憐恤之
