HVH_005_0012_000001	其暑戮朱庭耳。
HVH_005_0012_000002	城手安在。
HVH_005_0012_000003	奏遣郭连超来援復微城。
HVH_005_0012_000004	真兵大举岗。
HVH_005_0012_000005	帝宋租果许罢兵既请好，复遣使修接回北岗。
HVH_005_0012_000006	交按狂凡怒待出死，忽雨不相下。
HVH_005_0012_000007	气魄虽勝信如你未堪设想。
HVH_005_0012_000008	而学世端一人来我往，意亦见方强教参考南史載辞旨似有異同。
HVH_005_0012_000009	尚史則直李常大勝宋兵。
HVH_005_0012_000010	北史则但趾交来侵。
HVH_005_0012_000011	至败之字不之及宋史开已古史党空隐词与案安把当初直劇全付摄影臺曰"请和为尚之敗。
HVH_005_0012_000012	洞目则又载郭達间南兵由水道来侵，即越高戰南溺者。
HVH_005_0012_000013	干李皇子间亦赴云夫戰。
HVH_005_0012_000014	12献北庭。
HVH_005_0012_000015	奇哉！
HVH_005_0012_000016	怪哉！
HVH_005_0012_000017	殊令人不可得而思误者。
HVH_005_0012_000018	。
HVH_005_0012_000019	证款则從来越之南，共支那辰而戰辰。
HVH_005_0012_000020	向和成惯例奏凯献甫南而求邦之表。
HVH_005_0012_000021	过拜英宗政隆宝府二年，即一千一百亦万少自豪天躺皇幼女國乃一转而入意中人乡。
HVH_005_0012_000022	把弄W王。
HVH_005_0012_000023	先是李朝其支那交涉史国称君都王固未待礼。
HVH_005_0012_000024	少至等天皇國。
HVH_005_0012_000025	王乡新徽章0。
HVH_005_0012_000026	一千二百二十五年终。
HVH_005_0012_000027	和李惠嗣。
HVH_005_0012_000028	一千二百二十四年出家位第二女佛理号史记明到即位甫八朝，陈寺度遣八岁佳陳是。
HVH_005_0012_000029	3充入内保皇见而悦。
HVH_005_0012_000030	三。
HVH_005_0012_000031	以其叔守乃矯立奖为配。
HVH_005_0012_000032	后临皇辰烈一千百二六年。
HVH_005_0012_000033	正自初制精为支那所取法。
HVH_005_0012_000034	自伐来後，案干满玉声震马来暹要诸数族相通款，通改到朝，享同二百十有六年，一脉相承，福运亦大昌。
HVH_005_0012_000035	笑终世知都武四軍。
HVH_005_0012_000036	。
HVH_005_0012_000037	第十三筝復中学自有越史以来，文。
HVH_005_0012_000038	武未有者，響，独主政治界，组洲尚属草創，大平粉航巷，有待程起省焉。
HVH_005_0012_000039	0。
HVH_005_0012_000040	陳本闽，後徙南定天長府即墨社。
HVH_005_0012_000041	傳至陳以颜色得国，即位，通号太初。
HVH_005_0012_000042	在幼未能親政，国權尽出叔守度及兄都三天，按高银一千二百三十七年正，守度主代其肆行成福，三手服不下操课。
HVH_005_0012_000043	惠守使已得以执權，利多牛耳。
HVH_005_0012_000044	惠等徙别寺，国民復有痛，不能自已，快，恐民心戴或祸端，乃出威逼，多最野举動。
HVH_005_0012_000045	别央度。
HVH_005_0012_000046	惠来维，事涉号案，但惠南附把其情有T多秘策。
HVH_005_0012_000047	辰委氏方往会，纳为后柳，以故不平，聚国民，舍恶者構乱，大亦皇官，不掩者，变亦大，權开也。
HVH_005_0012_000048	武具史家所玄。
HVH_005_0012_000049	刘务殊建竹您等铁，乃用移换肥。
