HVH_023_0037_0001	不敢徑禮禮經三百而以爲民極賓禮之別有八宴禮之等有四 綱紀萬事
HVH_023_0037_0002	雕琢六情 六大法天之六氣五官象地之五行 以上數目門
HVH_023_0037_0003	器具 冠冕飾於軒輈玉帛朝於廣始於禮器見忠信之美於棜壺見揖讓之
HVH_023_0037_0004	風商祝夏祝詳於禮儀之篇夏尊殷尊配於明堂之位以上器具門
HVH_023_0037_0005	動物 鷹化為鳩陰為陽所化雀化為蛤陽為陰所化建官以為民服乳氏廢則冬
HVH_023_0037_0006	多瘞矣壺涿氏廢則秋多螽矣分職少宜化晢蔟氏廢則鸛鵒來巢矣射鳥氏
HVH_023_0037_0007	廢則爰居有祀矣饗禮用牢燕禮用狗以上動物門
HVH_023_0037_0008	植物 竹之有筠木之有榦以上植物門
HVH_023_0037_0009	麗閈
HVH_023_0037_0010	雜組 王制教孝玉藻教忠鄉飲教弟祭美絻誠聘美絻信射美絻德
HVH_023_0037_0011	禮運首言通道玉藻首言德樂記首言心經解首言教大傳明人親王美少復
HVH_023_0037_0012	習人事之常教冑子世子之篇逸士遵王制之分儐禮詳於事周禮詳
HVH_023_0037_0013	於官治莫先於教故巡守之後次以司徒政莫大於禮故侯伯之官必先司馬
HVH_023_0037_0014	〇冠禮廢而天下無成人昏禮廢而天下無家道喪禮廢而天下遠其哀祭禮廢而天
HVH_023_0037_0015	下忘其祖夏以前諸侯無冠禮周以下天子無冠禮春秋以下諸侯無冠禮
HVH_023_0037_0016	〇孝祀言敬祭行言儉喪記言哀坊記言治王制實適殷法月令悉協夏
HVH_023_0037_0017	時仲孫曾雖念周禮歸東自魯邦韓子覿書見周禮尚載諸盟府
