HVH_004_0002_000001	貨而輕人，乃自廢於别宫，辞而不見。
HVH_004_0002_000002	王多方委曲，以悦其心。
HVH_004_0002_000003	鄭珠於地而泣，日何物？
HVH_004_0002_000004	此珠不过入廣南，探出償王。
HVH_004_0002_000005	王何忍重而生男。
HVH_004_0002_000006	王最爱消百日。
HVH_004_0002_000007	王以其少時御名命之，取其類。
HVH_004_0002_000008	鄧氏始與相善。
HVH_004_0002_000009	及鄧氏有娠，王使人祝百神，祈生聖子，居期已也。
HVH_004_0002_000010	是年，郷试三場，御题以"山川英航。
HVH_004_0002_000011	河海秀钟為题。
HVH_004_0002_000012	文武諸臣承望風旨，亦多以星輝海潤為賀者。
HVH_004_0002_000013	周歳骨格豊異於常人。
HVH_004_0002_000014	既能言應対，明辨舉止，儼若大人。
HVH_004_0002_000015	文武諸臣有入見者，正容接之，或歳再見，皆能言其姓名。
HVH_004_0002_000016	歷說前事，主命氏由是潜有奪嫡之意。
HVH_004_0002_000017	詞臣制十二字颂，使阿保口授一經耳，即成誦，王深所慰悦。
HVH_004_0002_000018	鄧恩王宫生瑞郡公，最為恩王所钟爱。
HVH_004_0002_000019	太妃因妤得進於王。
HVH_004_0002_000020	却説王世子鄭棕。
HVH_004_0002_000021	楊太妃生太妃，名王歡，石河竜福人。
HVH_004_0002_000022	其妤為自入宮以後，寂寥度日，忽一夕要見神，賜彩綴一断昼黑竜頭，不知何瑞，以語侍者溪忠候溪忠心知其生聖之瑞。
HVH_004_0002_000023	次日，王命召宫嬪王宽进御。
HVH_004_0002_000024	溪忠故為錯谬，召太妃進御。
HVH_004_0002_000025	王見而不悦，然业已召至，不忍斥逐，召讓溪忠。
HVH_004_0002_000026	溪忠叩頭謝罪。
