HVH_007_0019_000001	兑甲祠别封敷文靈公主尊神。
HVH_007_0019_000002	護國龙民稔。
HVH_007_0019_000003	著電應。
HVH_007_0019_000004	肆。
HVH_007_0019_000005	今正承敬河内省城第二户行携庸鼓尊坊上村兑甲奉事保寧最2畿神其根佑，保我泰民，钦哉耿命，緬念神麻。
HVH_007_0019_000006	著封為齊静翊保中興中等神，準其奉事。
HVH_007_0019_000007	庶。
HVH_007_0019_000008	19。
HVH_007_0019_000009	啟定贰年叁月拾捌日，敕河城第二户鼓舞斗克甲坊行核庸徒前奉事保寧最靈公主尊神，原赠齋静翊保中兴中导神。
HVH_007_0019_000010	護国民稔。
HVH_007_0019_000011	著靈應，即缘頒给救封，准许奉事。
HVH_007_0019_000012	肆。
HVH_007_0019_000013	今正值肤四甸大慶，即任领寶認而申祀典铁式思，禮隆登秩。
HVH_007_0019_000014	著如贈莊上寺神，特準奉事。
HVH_007_0019_000015	用誌。
HVH_007_0019_000016	國慶颜定玖年柒月式拾五日。
HVH_007_0019_000017	NORO。
HVH_007_0019_000018	AUHt。
