HVH_013_0022_0001	國以展王政不行此秦楚所以大也有能及其迹而施仁發政養民厚其
HVH_013_0022_0002	生則斯民不飢不寒矣教民復其性則斯民親上死長矣民心既得
HVH_013_0022_0003	國若自外則疾苦者赴愬消遯者来歸即天下之勢在我王地而
HVH_013_0022_0004	堅甲利兵也自可以制挺捷衆人廣土也自可以敵裕未和大國及
HVH_013_0022_0005	為所役秦楚何畏焉一也昔梁之君不足介言王道孟子之説指以
HVH_013_0022_0006	為迂農桑教養既不能蘇焦悴之民而虐民生于域地又秦楚
HVH_013_0022_0007	也以秦楚而改秦楚即不可以敵人矣果其為弱之不可以敵強一
HVH_013_0022_0008	彼五十年受璽尉陁久為舊服伺至城於帖来之泥曰皇帝是
HVH_013_0022_0009	天子老夫便可以低首若句奴桀傲自漢初興以来事依々兮
HVH_013_0022_0010	他方强実国亦可以遠服然一諭志而两国和親桀傲者至于稽首
HVH_013_0022_0011	之大道無不恤也而北塞以数寧而南陲以無事何者收一劳之奇致数十
HVH_013_0022_0012	年衣錦西夏久在藩臣推一誠於策立之書仰见父母心凡率者
HVH_013_0022_0013	便可釋甲服若尤犹跳梁自宋立国之始兼愛以仁未渝及猖狂
HVH_013_0022_0014	之虞国利亦可以遠来然一通使则西朝和好跳梁至者地而不復生心兵
HVH_013_0022_0015	不用也而地方之清晏而西境以寕何者非一誠之所感一唐太宗展智
HVH_013_0022_0016	益兵及在他人必兵討也従外微之言戢戈兮於帖来之使兵及者於
