HVH_021_0069_0001	棗，蘭也待命於楚也為質於晉，豐氏之後析，冉免、員、府、伯有之門生莠
HVH_021_0069_0002	犛能為厲，見志則子西賕奔，苗子賕，產阻桑，餓客則子革賕，蔓草子柳
HVH_021_0069_0003	賕，籜，喻小國而松栢稚殖，於却婁，享晉卿而蔓草，可獸於垂隴，安叔草
HVH_021_0069_0004	不殖而數，却敖之必敗，莠稂在而嬖伯有之將亡，子羽離群，盜夥崔苻，悔不听子產
HVH_021_0069_0005	之教，而却婁娶松栢，稂可為射，犬之歲世叔 以上植物門
HVH_021_0069_0006	雜組 祝聃射王而中肩，子公嘗味而染指，伯有已先奪之魄，強狙不能術甚至
HVH_021_0069_0007	皇耳囚楚，黑肱伐齊，見然明主心，枕伯有之股，還里祈之樞，斷子家之摧，擿
HVH_021_0069_0008	伯有之尸，考叔賜食而舍肉，伯有飲酒而擊鐘，雲尉執燭而見晉君，黜管
HVH_021_0069_0009	龍崗
HVH_021_0069_0010	尊祭而主印段，行人鄭詹而見執於齊，行人伯國而見殺於晉，行人良霄石
HVH_021_0069_0011	奠而見執，辱於楚，曼蒲圖卿，孔張當客，子展言子庚，子孔言宏，司徒相子
HVH_021_0069_0012	革，子良言宏，子及餘，稟伯有嗜酒，考叔以美遺其母，雍姬以事告諸父
HVH_021_0069_0013	子華姦父之命，子良讓弟以國 游眅奪逼妻以館於邑，子張召宮老以為邑於
HVH_021_0069_0014	公，子南娶於徐，吾氏罕免娶於尾氏，無後而復，定叔為厲而立良止
HVH_021_0069_0015	報鄭子之妃，曰陳媯，奪堵狗之妻，為范氏，為生伐宗而因舉，呂共仲軍楚而因鍾儀
HVH_021_0069_0016	輟高渠彌，奠公子班，公子忽賕周，公子八滑，子產垤垣，伯有窟室
HVH_021_0069_0017	敬游，楚游，吉焉能亢宗，族殺子臧，子華竟能除蔕，分室而逼，強宗婦子咸知禮讓
