HVH_010_0065_000001	男S官員孫官員孫生一男二女，在此亦遷居。
HVH_010_0065_000002	娶氏生女参女。
HVH_010_0065_000003	男.先典公房男慎，先郡公曾行生徒整，字名揚，鄉试中儒生，場為儒生。
HVH_010_0065_000004	白屋试中三場，謂之生徒。
HVH_010_0065_000005	黎制蔭子，试中三。
HVH_010_0065_000006	65。
HVH_010_0065_000007	配阮氏，號妙職，文江春林社人。
HVH_010_0065_000008	生子三男：案：男清女。
HVH_010_0065_000009	嘉定公房生徒。
HVH_010_0065_000010	男昌德子传隆，产部郎中。
HVH_010_0065_000011	昌德子，甲午科鄉貢，同喜知縣，充康公府侍講。
HVH_010_0065_000012	公。
HVH_010_0065_000013	嘉定公弟二男令佳，黎朝景典，壬戌年生。
HVH_010_0065_000014	甲午科典叔，並登鄉貢。
HVH_010_0065_000015	昭统初年，授同喜知縣，不得已仕西。
HVH_010_0065_000016	景盛三年，充康公府侍講。
HVH_010_0065_000017	隆户部郎中，行舒池縣知縣。
HVH_010_0065_000018	昌德子。
HVH_010_0065_000019	尋以事去官，投馆于山面之立石山東，壽六十九，改垄富川。
HVH_010_0065_000020	配阮氏，生女河青池仁睦社人。
HVH_010_0065_000021	縣遮楼社唐柳村，坐丙向壬，长子世荣卜地焉。
