HVH_016_0062_0001	李公之委蛻乎。
HVH_016_0062_0002	彼何恃嶠。
HVH_016_0062_0003	此則心滓。
HVH_016_0062_0004	昔為山家清玩。
HVH_016_0062_0005	今為墨客閑性。
HVH_016_0062_0006	那甞出慮乎寰世。
HVH_016_0062_0007	作手談之無塵。
HVH_016_0062_0008	中相對而本陸地神仙。
HVH_016_0062_0009	几上設碁。
HVH_016_0062_0010	但翫滿盤徑偉。
HVH_016_0062_0011	祗甞眼界徐寬。
HVH_016_0062_0012	猶恨手術未爛。
HVH_016_0062_0013	妄從旁而讚。
HVH_016_0062_0014	一樣戰伐。
HVH_016_0062_0015	兩造雌雄。
HVH_016_0062_0016	知白設黑。
HVH_016_0062_0017	声西擊東。
HVH_016_0062_0018	笑談自若。
HVH_016_0062_0019	茶薰供定。
HVH_016_0062_0020	勝無辱。
HVH_016_0062_0021	敗不怨。
HVH_016_0062_0022	客候当敲。
HVH_016_0062_0023	核異陳。
HVH_016_0062_0024	瓊珎送玉。
HVH_016_0062_0025	迺命停觴。
HVH_016_0062_0026	欣然共癖。
HVH_016_0062_0027	携手比肩。
HVH_016_0062_0028	各執其碁子而遺貽孫焉。
HVH_016_0062_0029	聊誌其耳賀同樂巡撫武瑾飲九亭督茶诗跡覽恒台萬岳高。
HVH_016_0062_0030	六頭三方幻游。
HVH_016_0062_0031	文瀾回透自英雅。
HVH_016_0062_0032	筆牋崚嶒。
HVH_016_0062_0033	産墨驎。
HVH_016_0062_0034	貟（朱書）秋犯冬梅清遠气。
HVH_016_0062_0035	風甘雨樂陶々。
HVH_016_0062_0036	古人嗜酒山川勝。
HVH_016_0062_0037	後代文章氣愈槩。
HVH_016_0062_0038	再改下四句思无旁資木鐸。
HVH_016_0062_0039	甲科结或吳金毛。
HVH_016_0062_0040	世留君子元斯遥。
HVH_016_0062_0041	會得山川气太瀛。
HVH_016_0062_0042	賀芳粳辛人曲氏譜序 丁酉科人生莫不有姓。
HVH_016_0062_0043	其為姓或因地。
HVH_016_0062_0044	或因官。
HVH_016_0062_0045	焉而曲之为姓。
HVH_016_0062_0046	不知何所自因也。
HVH_016_0062_0047	吾邦南国鮮有及讀系牒。
HVH_016_0062_0048	史記且有曲節度也。
HVH_016_0062_0049	乃洪州人。
HVH_016_0062_0050	世為巨族也。
HVH_016_0062_0051	其先曲承美寛和愛人。
HVH_016_0062_0052	为眾所服。
HVH_016_0062_0053	及曲氏立。
HVH_016_0062_0054	而後派有葉。
HVH_016_0062_0055	雄振一方。
HVH_016_0062_0056	以名列外史焉。
HVH_016_0062_0057	自入本朝以來。
HVH_016_0062_0058	惟藜朝第三甲進士曲瓊。
HVH_016_0062_0059	才人也。
HVH_016_0062_0060	嗣後寥々無闻徃々亦未見其人。
HVH_016_0062_0061	而其姓亦寡矣。
HVH_016_0062_0062	兹有芳粳總。
HVH_016_0062_0063	芳粳之槐市村。
HVH_016_0062_0064	兄吾門之族。
HVH_016_0062_0065	其房分亦不知幾代矣。
HVH_016_0062_0066	而姓獨為寡。
HVH_016_0062_0067	吾鄉弟某後陪
