HVH_018_0053_0001	屋殷社於戊寅之年祀周廟以丁未之日 去者微子叛者武
HVH_018_0053_0002	庚 丑正己易其統申屠自漉於渊 以上干支門
HVH_018_0053_0003	皇天震怒我民離居 受率其旅周遷厥鼎 佼重興漸
HVH_018_0053_0004	漸之歌卿士傷師之度 華予渊藪罽及元良 師保而既放
HVH_018_0053_0005	矣此干而既死矣 聖人而羶比矣正士而行遜矣 謂祭祀之
HVH_018_0053_0006	無盖嗟訏言之協比 父師少師離心離德 以上卦名門
HVH_018_0053_0007	臺築南單聲傳北里 釋西伯之囚作西離之客
HVH_018_0053_0008	除刑則獻洛以西交師則攻後以比 西山清聖傷叩馬於朝歌東
HVH_018_0053_0009	海元戎惟令毳旄於坶野 北里作淫声之曲西山留隐士之蹤
HVH_018_0053_0010	龍岡 以上方位門 藏板
HVH_018_0053_0011	父師行遜範演於周元子賓王祀存諸宋 膠鬲之忠不聞因戡黎
HVH_018_0053_0012	八告比干之貴未嘗與父師偕行 費仲善諛悪来善讒九侯可
HVH_018_0053_0013	醢鄂侯可脯 諫拒夫祖伊罪浮於夏桀 以上人品門
HVH_018_0053_0014	狎侮五常毒痛四海 俾暴虐於百姓多逋逃乎四方
HVH_018_0053_0015	罪合於一仁有其三 以上數目門
HVH_018_0053_0016	赤烏流火白馬賓王 禍起戡黎首懸太白 黎老而播棄矣顛
HVH_018_0053_0017	尾而如燬矣 以上采色門
HVH_018_0053_0018	銅柱設炮烙之刑玉杯極奇淫之巧 室築以瓊門飾以玉
