HVH_006_0007_000001	小晋初國+T天策。
HVH_006_0007_000002	尚尊兄。
HVH_006_0007_000003	1。
HVH_006_0007_000004	重念楊三印。
HVH_006_0007_000005	十二使君起。
HVH_006_0007_000006	擒顺。
HVH_006_0007_000007	范白虎矮。
HVH_006_0007_000008	三制起。
HVH_006_0007_000009	十二使居昌文卒。
HVH_006_0007_000010	其将吴昌壮。
HVH_006_0007_000011	景硕土家。
HVH_006_0007_000012	陈览。
HVH_006_0007_000013	阮竟日慶。
HVH_006_0007_000014	李全。
HVH_006_0007_000015	阮守捷。
HVH_006_0007_000016	呂唐院。
HVH_006_0007_000017	輕親院大平。
HVH_006_0007_000018	7。
HVH_006_0007_000019	来衣人天下惡。
HVH_006_0007_000020	平定方?
HVH_006_0007_000021	。
HVH_006_0007_000022	十二使争彊蘆旗出帝王。
HVH_006_0007_000023	丁。
HVH_006_0007_000024	先皇帝收坚戲。
HVH_006_0007_000025	设主士旗如王考人成之。
HVH_006_0007_000026	丁先皇帝前平。
HVH_006_0007_000027	十二使君即帝位。
HVH_006_0007_000028	孝長安。
HVH_006_0007_000029	以黎桓道将軍。
HVH_006_0007_000030	後祭桓篡位。
HVH_006_0007_000031	帝印供力服摩雄易心知一S。
HVH_006_0007_000032	0。
HVH_006_0007_000033	太平無可慮。
HVH_006_0007_000034	黎将伐丁在侧。
HVH_006_0007_000035	有黎桓自称副王。
HVH_006_0007_000036	范巨两引校丹十道為关子。
HVH_006_0007_000037	黎大行帝年六岁。
HVH_006_0007_000038	十道将軍十道為天。
HVH_006_0007_000039	天乃契字子李字也。
HVH_006_0007_000040	成大帝為街土辰。
HVH_006_0007_000041	有童端云。
HVH_006_0007_000042	未术兹。
HVH_006_0007_000043	八。
HVH_006_0007_000044	前黎巴代示禾加随木落。
HVH_006_0007_000045	李祖興王李。
HVH_006_0007_000046	太祖帝姓李。
HVH_006_0007_000047	谭公蕴江。
HVH_006_0007_000048	古法人。
HVH_006_0007_000049	母花十八子方成。
HVH_006_0007_000050	.。
HVH_006_0007_000051	如何尊佛教古法王。
HVH_006_0007_000052	基肇出世。
HVH_006_0007_000053	自焦山昇童亦蟠。
HVH_006_0007_000054	1。
HVH_006_0007_000055	·
