HVH_027_0019_0001	壬戌年公叁拾柒歳公之親母命終甲子年公叁拾
HVH_027_0019_0002	玖歳小妾璠生女命名曰淑命嫁於本村阮貴公之
HVH_027_0019_0003	第壹男保大庚午伍年公肆拾伍歳本村重修廟宇
HVH_027_0019_0004	禮用慶成承祭需人公出銀爲鄉生以充祀事凡有
HVH_027_0019_0005	執事者趨進翼如也癸酉年公肆拾捌歳小妾再生
HVH_027_0019_0006	壹女命名曰瀾命嫁於北寧市社鄧貴公之第壹男
HVH_027_0019_0007	保大庚辰拾伍年公行年伍拾伍歳公於履慶初登
HVH_027_0019_0008	壽辛巳年公伍拾陸歳有壹日公欣欣然謂兒孫曰
HVH_027_0019_0009	我自甲寅年貳拾玖歳至今辛巳年伍拾陸歳春風
HVH_027_0019_0010	久坐叁拾年間壹在雙珠亭社壹在軫阜祿輪設帳
HVH_027_0019_0011	授徒循循善誘男學生者有焉女學生者有焉而成
HVH_027_0019_0012	達者亦有焉公之門第前後近得叁百人是爲寰中
HVH_027_0019_0013	之壹樂境也天假之年來春則大慶矣保大壬午拾
HVH_027_0019_0014	柒年公伍拾柒歳公於履慶初登壽公於是乃誌設
HVH_027_0019_0015	春筵拜謁神祖時先考伍拾柒歳先妣伍拾肆歳而
HVH_027_0019_0016	次妣伍拾壹歳堂開叁壽擧案齊眉環列兒孫歡陪
