HVH_010_0068_000001	男女X造士男式温慎公，房衛尉侍講。
HVH_010_0068_000002	奉管侍中，前號中馬右隊式武侯，字68，豪敢，福正。
HVH_010_0068_000003	知刑公读書，文舉生徒，又去学習武藝。
HVH_010_0068_000004	年二十五。
HVH_010_0068_000005	丙。
HVH_010_0068_000006	公温慎公長子，諱式，又名衍，壬子年生。
HVH_010_0068_000007	少孤，依祖伯付丁丑科会试造士名在弟五府，试弟一，赐一甲造士及子科武舉中弁生合式，是為武舉卿貢。
HVH_010_0068_000008	年二十六，利取造士。
HVH_010_0068_000009	又対策中者方謂造士恩例與文進士同，荣弟弟一名，是為武舉状元。
HVH_010_0068_000010	黎制武藝會中者謂之歸蒙，赐宝象榜，出都下喧傳曹郡公之後，公侯子孫名恩例，典文状元同，尋隆中馬队尉爵式武侯八靖，必復其始提哉！
HVH_010_0068_000011	初授奮授小隊清制，武舉亦三甲一甲，一都王府侍請武經，再準众差。
HVH_010_0068_000012	乙丑年，奉差镇寧道征，為惜之。
HVH_010_0068_000013	四月十四日，忌茎定功社下村配氏，生女二氏嬌。
HVH_010_0068_000014	及凱還，經，染嵐瘴病，卒于家，享年四十九。
HVH_010_0068_000015	衣冠皆氏書媳之有無。
HVH_010_0068_000016	公於理，服小功之親，惜公之至。
HVH_010_0068_000017	有詩云"造士巍二可勝，惜哉！
HVH_010_0068_000018	歐陽公言"賢者之可传，盖自有在不在子噫公武舉状頭天不假之年，所出又是女*
