HVH_020_0052_0001	之識早知不度堪憂叔孫擅知禮之稱還請習儀以亟昭公於齊期貨子
HVH_020_0052_0002	猶之歸許高齮之粟於晉則行范獻之私掩荀躒之耳昭公夫人之立見譏於
HVH_020_0052_0003	瞯夏執贄之請見敖於周豐哀公榮叔來錫桓公命毛伯來錫僖公命桓公來賜
HVH_020_0052_0004	人品 成公命 以上人品門
HVH_020_0052_0005	八百七十年三十有四君七百里版章十二公世澤行九經則一方百里者五
HVH_020_0052_0006	公車誇十乘之威公庭賜萬舞之樂受三見三答之敬誇二郊三遂之威
HVH_020_0052_0007	孔曼孔碩是若者萬民如岡如陵作朋者三壽分民以六族視七族而同優報政以
HVH_020_0052_0008	三年較五月而稍後有頌而僅登鞉之嗣四篇無書而尚存費之誓甲首三
HVH_020_0052_0009	千公徒三萬旂則十二旒車則七百乘予誇其二弓美其重卜史祝
HVH_020_0052_0010	龍岡 祝宗獻分四職變俗華禮績報三年祿去公者五世君喪政者四公藏版
HVH_020_0052_0011	六羽六佾樂始不相瞢二至二分日食不為災命名而廢二山不郊而禘三望
HVH_020_0052_0012	疆場之事慎守其一日月之災所務惟三築囿者二築臺者三大蒐者五大事
HVH_020_0052_0013	者一萬僅存夫人之二射不具夫耦之三室已分而桓且號為三欒可僭
HVH_020_0052_0014	而侑儼用其八五梧宴禋而私室五父詛權在陪臣覓設其兩都墮其三
HVH_020_0052_0015	七月乃以藏冰四封不可詰盗讎言有四慮能得志鄰有三豈遂忘情
HVH_020_0052_0016	養三德善非不當失二德危將焉保魯朝周八周來聘七魯君聘列國三
HVH_020_0052_0017	十有三大夫聘列國五十有六列國諸侯朝魯凡四十列國大夫聘魯三十
HVH_020_0052_0018	一齊則請致千社吳則來徵八宰齊則討是二盟晉則間我二憂
