HVH_008_0047_000001	1不施此利，视水狂如所为。
HVH_008_0047_000002	善端横而推馆各中律，断取新中即餐；奢药蠟澳館醉佛能鲜衣轻秉肥转满我夫一金高宿行人一事，君句欺兄友弟恭夫唱妇随交友止信加唐。
HVH_008_0047_000003	此善道母私私，人有枝津，即去为知止有定。
HVH_008_0047_000004	造次不離，坦履正途，不惑他歧行已行人含前在，靠诚意自惊。
HVH_008_0047_000005	嗣德辰和西中必谨於日智日愚一復一了，君子如行字，思顧以各美母愧碑。
HVH_008_0047_000006	若已有蚕贤何人欲是则希求生極在推所。
HVH_008_0047_000007	古创甚诚我似白谓善日私妈于今子已成，甘为南弟。
HVH_008_0047_000008	西兄干年旺氣消。
HVH_008_0047_000009	瞿请奉忍视山河新搜鞋陌十字邪言。
HVH_008_0047_000010	王京举国尽，巾帼辱大宫。
HVH_008_0047_000011	紫朱荣朱夏不解。
HVH_008_0047_000012	矢石生士氣，寒往容就。
HVH_008_0047_000013	92秋正氣峙佛山夜美展忠肝。
HVH_008_0047_000014	如重雨露生意易，萬里风霜亦谁一片孤忠深水，千台园老好相遇。
HVH_008_0047_000015	对话曾多十载词。
HVH_008_0047_000016	音童谢诗身猪少小动温谕师。
HVH_008_0047_000017	顾得致年加学词或能一三过丹埠再野浴，政情未有黑。
HVH_008_0047_000018	闻见教育多资贤。
HVH_008_0047_000019	文卓生草野一何幸。
HVH_008_0047_000020	今朝逢主知自揣此。
HVH_008_0047_000021	000ANHL有粮吾土，十年雨度位英雄不奴人。
HVH_008_0047_000022	回海九美烈。
HVH_008_0047_000023	2*
