HVH_013_0097_0001	者根原於太極流布於五行而散見於萬事攷前于千載之既往後乎百世
HVH_013_0097_0002	之將来事雖不同而此理之外无復有他理信如宋儒濂之所云也聖人作易
HVH_013_0097_0003	所以順性命之理也繫辞曰形而上者謂之道以乾坤之理隱寓於无極之先者
HVH_013_0097_0004	謂之道而非爻陰陽者見於作易之後者謂之器言器而必本於道其與
HVH_013_0097_0005	中傳借有形之鳶魚以証无形之道体皆是理之寓于物也免此則理本
HVH_013_0097_0006	无形謂之有不可也理本无物謂之有不可也何以妄以虚无為尊而謂天地
HVH_013_0097_0007	萬物以無為本遺夫形而下者裴顧以形器為非而萬物之生以有為分遺
HVH_013_0097_0008	夫形而上者皆不知理之言也誠知理矣宜有則有宜无則无雖无思无為
HVH_013_0097_0009	而天下之故未嘗不應雖寂伺物或務而寂然之间未嘗不撥不偏於无亦
HVH_013_0097_0010	不泥於有此助聖人之正道也圓河洛書皆理之自然也河圖五十五點洛
HVH_013_0097_0011	書四十五點多寡不同而其理則一而已因之自北而東左还相生書之自北
HVH_013_0097_0012	而西右轉相克圓有生克之殊矣然因之对待則水克火金克木而相克寓
HVH_013_0097_0013	於相生書之对待金生水木生火而相生寓於相克不可以生克一其免也因
HVH_013_0097_0014	以五生統五成而道其常書以五奇統五偶而肇其变固有体用之異然因
HVH_013_0097_0015	之四象處乎西南者不叶所生之卦又為用之变書之四象列于四方者悉
HVH_013_0097_0016	叶所生之卦又為体之變不可以体用二其致所謂圖可為圖書可為圖
