HVH_004_0009_000001	忠侯共遵生侯者飲藥死。
HVH_004_0009_000002	遵生侯有帐下文書阮國镇亦連坐論房，刊罵日天無日，朝無官，使国鎮含党，使其所親納笔纸于袖中，日生不伸，宪死當於宜府。
HVH_004_0009_000003	闻者壮之。
HVH_004_0009_000004	世子既废王命，仍居三间堂，使人监制飲食。
HVH_004_0009_000005	起居，背不得自由，家臣諸人皆不許出。
HVH_004_0009_000006	八。
HVH_004_0009_000007	由是世子之党各奔亡逃匿。
HVH_004_0009_000008	鄧氏之党益强，大小諸無不附。
HVH_004_0009_000009	王亦益加礼重。
HVH_004_0009_000010	鄧氏乃為其弟鄧茂麟求婚王女玉蘭公主，王亦許之。
HVH_004_0009_000011	這公主字王乃之最爱女。
HVH_004_0009_000012	原来黄正妃生下两位公主：長王瑛公主字王，案，前乂安镇守端忠侯裴世遵之長男，瑞忠侯装世遂。
HVH_004_0009_000013	二公主未有所尚。
HVH_004_0009_000014	玉最鐘爱公主，资禀軟弱，自幼居水晶宫，不见风暑所居。
HVH_004_0009_000015	王戒侍女言语低教。
HVH_004_0009_000016	恐公主既長，每進見王，令其同坐。
HVH_004_0009_000017	若為孩提時，凡所请言，無不售。
HVH_004_0009_000018	熟戚求婚。
HVH_004_0009_000019	王背未有所許，曾肯下文武诸世局。
HVH_004_0009_000020	公臣六族子孫八送公主，擇可意者嫁之，更無当送者。
HVH_004_0009_000021	至是鄧氏其弟求婚，王重遗其意，不得已動從。
HVH_004_0009_000022	却说茂群為人凶暴，目鄧氏有得势，肆行典馬，衣服一如王者，喜带手下效十人，持刀鎗横+享。
