HVH_018_0066_0001	也是從天妺迎則舟也是造 金玉美其相之寶鼓鐘歌於論之休
HVH_018_0066_0002	綝繞以當天之福斧鉞以當天之禍 以上噐具門
HVH_018_0066_0003	開雕求女文馬獻君 師事鬻熊言纔祟兔 鷄鳴問豎駿
HVH_018_0066_0004	命盟皈 委蛇退食酌兕依人 燕翼貽孫駿声頌祖
HVH_018_0066_0005	牧野駟騵南郊貔虎 秣駒秣馬匆鳥匆魚 鳶飛魚躍
HVH_018_0066_0006	蚤耀蝨噲 死麀死鹿發貎發磑 賂陳駟馬呈離天竜
HVH_018_0066_0007	𦏵燕及皇天駿奔祖庙 顏似子竜眉肖於兔 德堪則象
HVH_018_0066_0008	形似望羊 世庸穀馬化起雕麟 魚鳥騰羣沼之歡竜彫
HVH_018_0066_0009	八君王之夢 鳴微鷟鷺之祥夢叶熊羆之吉
HVH_018_0066_0010	龍岡 藏板
HVH_018_0066_0011	鼉鼓声逢化行灃水鵲巢歌美風被汝墳 子孫蟄蟄衍慶蚤
HVH_018_0066_0012	斯公族振振祥呈麟角 藩臣終老修燕翼之書日昃不遑弭
HVH_018_0066_0013	蜩螗之度 因玉門則繫衆衆淮思西方則秉翬繒悲
HVH_018_0066_0014	鳴鳳既憂於高岡魴魚何憂乎汝水 求雞斯之乘輿脫喙
HVH_018_0066_0015	之歌 尨也可使無吠鼠也誰謂無牙 羔羊之大夫皆儉甫
HVH_018_0066_0016	兔之武士胥賢 麀鹿伏於臺雉兔往於圃 非熊之夢
HVH_018_0066_0017	亦獲仁人而任賢初非樹黨叩馬之歌非無義士而異代可訂
HVH_018_0066_0018	同心 聖德之讓淑茫耳有老臣在鷹不敢揚於野符命
HVH_018_0066_0019	之事虛誕耳有孤臣在鳳何敢鳴於山 開雕應以麟趾知
