HVH_020_0023_0001	昭穆而降、道漸凌夷、幽厲以還、詩陳板蕩、生民紀姜嫄之祥、大
HVH_020_0023_0002	明誌太任之德、思齊稱太姒之賢、心傷邑考、思媚周姜、昭穆齒
HVH_020_0023_0003	考王平富、周所以興、榮夷公務專利、周所以亡、刪詩而升僖公之
HVH_020_0023_0004	頌、編書而繫文侯之命、呂伋尚留宿衛、武莊繕世司徒
HVH_020_0023_0005	典司致者、孟侯掌卜、正者滕子、尹氏世號太師、單劉尚仍子爵
HVH_020_0023_0006	鞠陶以下、亞圉以上、莫不是享而是宜、懿孝以降、平桓以來、莫不亦臨
HVH_020_0023_0007	而亦保、孝公咨訓命、夷官而教國子、張仲犒師、援王命以正强侯
HVH_020_0023_0008	鼓琴得人、師襄可學、論樂正舞、賓牟有諮、易象春秋、韓宣致削、韶
HVH_020_0023_0009	大武、季札能知、九疇錫諸大禹、而洪範已載、八同書商頌、傳自戴公、而
HVH_020_0023_0010	龍岡 藏板
HVH_020_0023_0011	倚那僅附於魯後、奏平成之績、賢則歸美共和、繕夾輔之勳、親
HVH_020_0023_0012	則終依晉鄭、緇衣絺綌、胙禽胙伋、不窋出失官於夏、亶父
HVH_020_0023_0013	避狄於岐、
HVH_020_0023_0014	以上人品門
HVH_020_0023_0015	效目
HVH_020_0023_0016	卜世三十卜年七百、十五世宗、祀一千年、侯服、來王者八百國、同
HVH_020_0023_0017	心者三千人、探精微於三百六十之筴、習典故於三千之經
HVH_020_0023_0018	○八十物不爲後十二玉不爲奢、三百其宮九百其畝、天下三分而
HVH_020_0023_0019	有二諸侯一朝而八百、冊書下拜凜敬勝者十七銘黃土分苴列土
HVH_020_0023_0020	盟者四十國、十五王而文始平之十八王而康克安之、壽河山之
HVH_020_0023_0021	八百傳姬籙之三千、撫桐八十民慍猶歌萬篚三十罪人循泣
