HVH_005_0003_000001	如老氏虚说，徒人不思玄想部。
HVH_005_0003_000002	孟子吉道律精華。
HVH_005_0003_000003	关此摘三法语为学植播一良稣子焉。
HVH_005_0003_000004	子曰"子去仁恶乎成。
HVH_005_0003_000005	又日"苗而不秀者有矣。
HVH_005_0003_000006	夫秀而不室者有关。
HVH_005_0003_000007	夫备谓学为仁智，不可不善。
HVH_005_0003_000008	予助苗長と徒其也。
HVH_005_0003_000009	可見氣竟知言，养氣为不動心。
HVH_005_0003_000010	原因威坚思性，必有事焉。
HVH_005_0003_000011	句正勿忘。
HVH_005_0003_000012	句助人发悯其苗不而者，芒芒歸日，今日病矣。
HVH_005_0003_000013	O。
HVH_005_0003_000014	第四篇越武市屈强及其成亡矣。
HVH_005_0003_000015	辰汉商定中室，行隆理藩服政策，间已雄交。
HVH_005_0003_000016	黄遣隆買往，拜为南越王。
HVH_005_0003_000017	0漢便至越富纪元。
HVH_005_0003_000018	今皇又南越新，早将高揭史上前九十六年。
HVH_005_0003_000019	史载趙佗见陸賈，礼意颇傲。
HVH_005_0003_000020	陸至见乡，賈曰"本汉人親戚填墓，皆在直定，今乃忘本葉冠，欲屈汉为献。
HVH_005_0003_000021	不知漢帝已累见诸侯，天下主间，王王道民，從令抗街，徒考期民。
HVH_005_0003_000022	今遣王印役王宜交谓北面称臣，乃欲以新选未集，越慢易天于便者。
HVH_005_0003_000023	汉诚插其填墓。
HVH_005_0003_000024	越王如王起日居日，人殊失礼美。
HVH_005_0003_000025	因问賈日"我何曾参执。
HVH_005_0003_000026	贾曰"王贤又同我漢高帝孰員"贾曰"皇帝三皇五帝，多撫取国民億兆，计地方里同网第，未之有也。
HVH_005_0003_000027	今土不過十关，雜處山海间，乃此漢王笑日，吾恨不起中原，故世何遗谓小若我，吾僻一隅而不以及漢王为恨，不谬甚口。
HVH_005_0003_000028	他受封乃去。
HVH_005_0003_000029	帝号称臣奉称趙武帝王。
HVH_005_0003_000030	0。
HVH_005_0003_000031	纪元前一百三年，禁南越，不得通，買鐵牛馬。
HVH_005_0003_000032	王间怒，力自立为越皇帝，善辞谕之门，称臣识告固民。
HVH_005_0003_000033	有曰"吾师两雄不俱立，两贤不世。
HVH_005_0003_000034	漢皇帝知也。
HVH_005_0003_000035	自今去帝制，每为麦称蛮夷大老，伦昧死再拜云。
HVH_005_0003_000036	。
HVH_005_0003_000037	賈得書还帝，漢大悦，從南北弭，民得休息。
HVH_005_0003_000038	0。
HVH_005_0003_000039	纪无前一百三十七年，王费一百二十一歲，在位七十一年，雄掾迎久，文代亦可谓越史最有。
HVH_005_0003_000040	但以北人南帝）公正流耳。
HVH_005_0003_000041	至百二十七年，闽越王殺鄂明無也。
HVH_005_0003_000042	文王欲入帝，辟臣谏门，遣子要齐代。
HVH_005_0003_000043	0。
HVH_005_0003_000044	十年，越王胡崩。
HVH_005_0003_000045	0。
HVH_005_0003_000046	明年，趙子興立。
HVH_005_0003_000047	初未，王漢季通歲，漢遣火季来渝人朝。
HVH_005_0003_000048	後兴私欲内附，自漢嗣位，星为明。
HVH_005_0003_000049	在位十二年。
HVH_005_0003_000050	初肴漢娶，生子興立氏为例。
HVH_005_0003_000051	興世子。
HVH_005_0003_000052	此在纪元前一百十二年事也。
HVH_005_0003_000053	戦败走，漢軍進殺开取，感越南改号交趾，分为九，即抗之，乃狱。
HVH_005_0003_000054	王向子建尽殺，使封还四，置塞上。
HVH_005_0003_000055	漢遣将軍路博调道五，进逼都城。
HVH_005_0003_000056	O。
HVH_005_0003_000057	第五篇北属支那之府代。
HVH_005_0003_000058	0。
HVH_005_0003_000059	建王及嘉败，漢武帝以秦所置三，即分云内。
HVH_005_0003_000060	桂林。
