HVH_019_0065_0001	制藝精華前編卷之十四聖賢部諸賢下被夫子之文、春風沐化。
HVH_019_0065_0002	盡後母之孝、冬月忍寒。
HVH_019_0065_0003	閔子、喪明商、夏侍疾呼春。
HVH_019_0065_0004	曾子、問六宗之義、日月之祭、堪明短三年之喪、燧火之改可已、晝而寢也、予有何誅、期可已乎予其忍何。
HVH_019_0065_0005	宰我、歌各有宜、星辰以理聖不可及、日月無踰。
HVH_019_0065_0006	子貢、涉江津而避風、修溝瀆以防雨。
HVH_019_0065_0007	以上子路、日月無私、春秋莫贊、彈琴詠先王之風、無益霑夫子之雨。
HVH_019_0065_0008	以上子貢、陽之暴不可尚已、月之離其飛知之。
HVH_019_0065_0009	有若、治豈必日夜之不處、道可悟陽晝龍岡 卷十四 聖賢下之所云。
HVH_019_0065_0010	子賤、 以上天文門祥應枯井、歌操梁山、沂水慕先人之志、尼山賴聖道之傳。
HVH_019_0065_0011	以上曾子、不見宗廟之美、安知江海之深、窺室家牆也何卑、為圃畦隧也何鑿以上子貢、戰於郎則克之、戰於郊則勝也、富教商於衛、地軍政著於齊郊、俟、黛氏之溝、助顓臾之伐。
HVH_019_0065_0012	以上冉有、河也莫馮、海也奚津也可問、門也可宿、㙒喻江海之發、政徵溝瀆之修。
HVH_019_0065_0013	以上子路、單父、過漢陰、子貢、儒雅化荆蠻之俗、弦歌辨寇之場。
HVH_019_0065_0014	子游、邦家必達、州里不行。
HVH_019_0065_0015	子張、從師𨔛由、從遊舞雩、樊遲、隘巷動端木之悲、空同季次之志、原思、怨不報乎守門、隳豈容乎買道。
HVH_019_0065_0016	子羔、先往荆國、舍有燕人、
