HVH_020_0013_0001	求良弼乃眷顧象受大共何天之寵， 成湯有龍逢之哭高宗有豕
HVH_020_0013_0002	韋之征 陟扈格於上帝仲虺告及萬方 昜日而兆呈雒雉司晨而
HVH_020_0013_0003	戒慄牝鷄 龍飾其旂雉升於鼎 下國駿厖君子狎侮
HVH_020_0013_0004	鷺之飛馬之摯、 祭昭用牡聲美鴞鷖、 有報有祈仍食旬龍之
HVH_020_0013_0005	舊德一祟一替、賓、闢元虯之明禋 魚皮偕鮫駮同登龍舟與象齒
HVH_020_0013_0006	並獻 邑歌翼々聲美鵙々 以上動物門
HVH_020_0013_0007	植物
HVH_020_0013_0008	時迫中葉、戩自鳴條、 后之來也其蘇遏之悔也自厎 徂桐宮者
HVH_020_0013_0009	三載禱桑林者七年 征亂而歌芭蕉修德而隕祥桑、
HVH_020_0013_0010	社樹以柏桷用夫松 貢篚草木未害枝葉、 松栢賦矣萋苴咏
HVH_020_0013_0011	龍岡 藏板
HVH_020_0013_0012	矣麥秀歌矣成湯都於蒲社太甲放於桐宮、 蕭蒲之俗本從頑剏
HVH_020_0013_0013	楚之風多梗化、 以上植物門
HVH_020_0013_0014	雜俎
HVH_020_0013_0015	敵人作誓民有畔心朕人事神民有蕩志 祭則先肝、訓豈往背
HVH_020_0013_0016	享王陳撻伐之威歌舞示風愆之儆 獻左師之禮作王家之賓
HVH_020_0013_0017	代三農而興、寶、合諸侯而作明居 來格則美其祚祈々遂覲則
HVH_020_0013_0018	誇其烈々、 書則三宗並紀、詩則大祫有章 洛誥營周、必稱殷
HVH_020_0013_0019	獻康叔錫命用蔽殷彜 先后履稱於盤庚列祖明言夫伊尹
HVH_020_0013_0020	政則反乎前監則貽乎後 人惟求舊、綏乃祖乃父之心罰及爾身
HVH_020_0013_0021	凛作福作災之懼 釐宗以立學、助法以分田 饗禮以養老
