HVH_024_0048_0001	光宝元年 己未科進士 仕至工部尚書奉使健山侯
HVH_024_0048_0002	光宝二年 壬戌科黄甲一畢 仕至南政使鄂美
HVH_024_0048_0003	壬戌科進士 仕至憲察使
HVH_024_0048_0004	壬戌科進士 仕至工部尚書平少伯
HVH_024_0048_0005	淳福 乙丑科進士 仕至強中安
HVH_024_0048_0006	乙丑科進士 仕至戶部尚書奉使惣歳侯
HVH_024_0048_0007	崇康 戊辰科黄甲 仕至吏部左侍郎杻溪侯
HVH_024_0048_0008	崇康元年 甲戌科進士 仕至侍郎
HVH_024_0048_0009	甲戌科進士 仕至理刑道察使
HVH_024_0048_0010	甲戌科進士 仕至工部侍郎
HVH_024_0048_0011	甲戌科進士 仕至右侍郎礼部兼司業
HVH_024_0048_0012	甲戌科進士 仕至司政使
HVH_024_0048_0013	崇康 丁丑科進士 仕至監察御史
HVH_024_0048_0014	丁丑科進士 仕至承政使蘭溪子致仕
HVH_024_0048_0015	庚辰科進士 仕至工部尚書竹津侯
HVH_024_0048_0016	庚辰科進士 仕至給事中
HVH_024_0048_0017	延成 癸未科進士
HVH_024_0048_0018	阮承祀 屯貝社
HVH_024_0048_0019	阮則璧 仁里社
HVH_024_0048_0020	王惟聰 汪下社
HVH_024_0048_0021	阮裕寔 羅川社
HVH_024_0048_0022	范光佐 蔡垌社
HVH_024_0048_0023	鄧顒 汪下社
HVH_024_0048_0024	武師錫 汪下社
HVH_024_0048_0025	王文會 汪下社
HVH_024_0048_0026	黎履泰 安界社
HVH_024_0048_0027	鄭諧 汪下社
HVH_024_0048_0028	阮益澤 羅川社
HVH_024_0048_0029	陳如林 安来社
HVH_024_0048_0030	阮壽椿 上答社
HVH_024_0048_0031	范克明 仍里社
HVH_024_0048_0032	陳裏 青森社
