HVH_032_0052_0001	目溺者曰吾陷于水彼以篙椓之失其衣傷予目咱讼者谓渔人曰尔有罪彼
HVH_032_0052_0002	陷于水何乃椓之以篙彼目傷尔宜償渔人惶恐咱讼者顧谓溺者曰當尔
HVH_032_0052_0003	陷于水時而目全于旧无傷也咱讼者頗左右曰再推彼於水中使渔者
HVH_032_0052_0004	復其目溺者慚而出 右由西書译出
HVH_032_0052_0005	国手谈醫
HVH_032_0052_0006	天下大治如人一身要得血脉流通精神爽健丝紋可以无傷不知或内因或外
HVH_032_0052_0007	因或不内不外因皆足以致疾昔人所以有治国如治病之说也至于作用人亦如用
HVH_032_0052_0008	醫當審其術業而重於委使用兵亦如用藥當密其機防而厚於調養此
HVH_032_0052_0009	皆有國者所當知也近阅中西报有谕营醫一則其指陳積弊洞見膏肓
HVH_032_0052_0010	其針灸良方可當藥石使见于国常非小補顧营醫之设亦方書所谓急则
HVH_032_0052_0011	治其標耳若濬其本莫先於自強诚知所以自強则痼疾立已國之規模皆可
HVH_032_0052_0012	以意倣效独营醫云乎哉作者其殆有濡墨起疴之思矣端如左
HVH_032_0052_0013	谕军次宜设立营醫 海容稿
HVH_032_0052_0014	嘗谓治天下以文定天下以武又曰不為良相亦為良醫古人比用兵如用藥知
HVH_032_0052_0015	其道固不相悖而實相須者也况今五洲竞霸列辟争雄苟非国富兵強列
HVH_032_0052_0016	其世且弱乌能救藥哉善医国者必起疴治世專於療疾登斯民於仁寿
