HVH_009_0010_000001	鹤咎仙池桃考碧海流施乡慶源在届中春酒菊生香。
HVH_009_0010_000002	#子支孫永世王。
HVH_009_0010_000003	天地欺怡淑氣多彩华远酒携香舞。
HVH_009_0010_000004	春天即事诗。
HVH_009_0010_000005	啼乌迎入向晚歌。
HVH_009_0010_000006	静见万物引時多。
HVH_009_0010_000007	褚痹禾腎吟轉度来月旦勤前客，年先不再契生花劇醉相誤。
HVH_009_0010_000008	奈老何歲，花在每速扣。
HVH_009_0010_000009	流寿酒融临春色有九旦。
HVH_009_0010_000010	小诸儿诗）東风淡泊，世情無。
HVH_009_0010_000011	終到新年老灾遇愚。
HVH_009_0010_000012	自古起家由参做，江山制处皆烦景。
HVH_009_0010_000013	父子相传是业儒。
HVH_009_0010_000014	尔曾豈寻事，荒连除久诗新岁终臨首，岁除乾坤不尽短。
HVH_009_0010_000015	花景門館無私水竹居。
HVH_009_0010_000016	老来天我太煽辣。
HVH_009_0010_000017	两度手曾扶。
HVH_009_0010_000018	日载封書首上士車。
