HVH_023_0032_0001	詩首周召南以貴秦兩誓終邶詩附商魯頌 典謨之辞簡而奧訓詰
HVH_023_0032_0002	之間明而昌誓命令之詞嚴而止 羲和之政齊天運禹貢之篇定地理周官
HVH_023_0032_0003	之制正官僚 陳時術乾則畫象之精賔歌禘吉則風雅之祖盛哉升
HVH_023_0032_0004	降則非事之守揖讓非禧則經典之奧 尭典始言徳禹謨始言道湯誥
HVH_023_0032_0005	始言性說命始言學 斯自唐虞上規姚姒下迄商周終繋魯秦
HVH_023_0032_0006	虞書渾渾商書灝灝周書噩噩 敬天則有臯陶之命平地則有禹貢之
HVH_023_0032_0007	書 易主卜筮即洪範之稽疑礼主即印虞書之典禮敷五教即后
HVH_023_0032_0008	夔之教樂周礼設官六卿率属之事春秋褒貶即卑濕命德討罪之權
HVH_023_0032_0009	麓閣
HVH_023_0032_0010	以上雅頌門
HVH_023_0032_0011	詩
HVH_023_0032_0012	干支 笙詩由庚雅歌吉日 出獵而奉辰牡燕客而頌士林
HVH_023_0032_0013	車馬而贈申伯佻達而刺子都 我辰安在我疒不能 刺皇父者
HVH_023_0032_0014	辛卯日食而告凶美宣王者庚午差馬而卜吉 申后黜而吟白華子車
HVH_023_0032_0015	殉而歌黄鳥 以上干支門
HVH_023_0032_0016	部名 豊芑賦知周之盛離黍咏知周之衰 燕嘉賔者鼓歌欤怨行役者
HVH_023_0032_0017	賦漸々 鴻之離刺衛宣也鴞之萃刺陳恊也 陳師鞫張後薄
