HVH_032_0033_0001	南土是保
HVH_032_0033_0002	我南國乂靜上游沿山一帶與暹國接壤以瀾滄江東西爲界一統志所載封域
HVH_032_0033_0003	截於中間边陲防遽爲暹人截占 朝廷積年聳聽未有其機至擢大臣
HVH_032_0033_0004	經理其事知復勘長暹人強詞抵賴責大臣與機密院商議乃自絜想記
HVH_032_0033_0005	办於度沿上游设鎮牢阿髑阿爪三屯二月日斐梘兵收得班琿屯度洽
HVH_032_0033_0006	遂得呼餐屯暹兵均已退舍昔者奇許復宇雖羈而田曾人以爲美谈
HVH_032_0033_0007	由是而履査可知也详缀韻语以誌之曰於皇
HVH_032_0033_0008	列聖寔興南極土宇有截九鼎斯勒我 皇受之規恢社稷大国敷信庶
HVH_032_0033_0009	敬勵翼文軌混同疆場憇安顧兹上游西夹暹國瀾滄一帶天限南北边
HVH_032_0033_0010	沿偶踈防匪濳匿游猱鼠窃乃蠶食我国疆故内治是亟道在妥之未
HVH_032_0033_0011	遑正域维大国庇之曰妥帖他逼憲節臨边風雲改色彼狡且悍強辞振
HVH_032_0033_0012	飭维大国圖之曰是不可不宣布我地志擿彼嚚惑筭之以鞭箠施以威
HVH_032_0033_0013	鎮边樓上坐安及側乂静處使險要在塞牢阿屯乍與道里以繼相展而
HVH_032_0033_0014	妥其民亟戢乃兵裴震以聲威一麾已定二城况克宽克完二城作藩以
HVH_032_0033_0015	樹破竹之势指日可期吾曰事之以計斯得又曰治之以理行直土地之宜
HVH_032_0033_0016	封守有常公法斯在誰敢不承式遵国遥之江流湜湜之碑碣宛然塵氛如拭
