HVH_009_0060_000001	酒亚乐我烦霞趣，清菜玉席，随迎贵容往来自酒金。
HVH_009_0060_000002	望待贤人出八基局镜人智水天畫工對解润消愁违客，强杯肉酒，陶情运兴高人蝎饮頭春毫瑞乾生成巧，筆下精神誇手胸威潜施造化，巾儿中骨格美奇工。
HVH_009_0060_000003	千参集書消永日，筆下起风雲。
HVH_009_0060_000004	巧出神竜加麦化，一樽欧酒度延年。
HVH_009_0060_000005	意中生明，莫写成彩鳯似翱翔。
HVH_009_0060_000006	交言要谨四良世常存。
HVH_009_0060_000007	三不尽，中享四時和長春。
HVH_009_0060_000008	長在春色，重先新景爱家声。
HVH_009_0060_000009	王振首尾流勇世熟，陶樂有餘。
HVH_009_0060_000010	四连曦車春刻好好八南爸瑞长和晨堂，比引清毛。
HVH_009_0060_000011	五荣箕勉福无疆。
HVH_009_0060_000012	秋桂春桃文吐苑。
HVH_009_0060_000013	好事每以新歳至春先先向吉門南星斗向腾群。
