HVH_013_0093_0001	問道之大原出於天其用在天下其傳在聖賢中傳性道教之別厥有旨歟粵
HVH_013_0093_0002	昔羲農黃帝相與統天立極道統相承之傳厥有自来大易兼言五帝良有以
HVH_013_0093_0003	也夫子定書斷自二典何乃越而遺之軒轅尭以是傳之舜舜以是傳之禹
HVH_013_0093_0004	孟子不知言所傳何事先儒以中為百聖傳心之法永之載籍有可考其寔
HVH_013_0093_0005	歟今見周公之兼三王以施四事孔子之祖述憲章孟子之願學孔子固可見相傳之
HVH_013_0093_0006	一致他如啓代之與禪讓事不相類奚同中道歟論孟之末正
HVH_013_0093_0007	叙群聖厥有旨歟論何以言武而不及文孟何以言文而不及武先儒知道行道之
HVH_013_0093_0008	說然乎戰國嬴秦以来學者不入於佛老則入於申韓自無足論董相韓文相望
HVH_013_0093_0009	於漢唐何以不能傳道之責周子太極一圖獨由心契上與羲黃之易相為表裏
HVH_013_0093_0010	二程又從而光大之河洛之書斯文洋々與洙泗並有大造於萬世學者論者獨称
HVH_013_0093_0011	朱子何也
HVH_013_0093_0012	對士聞道原於天而具於人心著於事物明而行之存乎人耳是以迭興則主張乎
HVH_013_0093_0013	其後賢繼作法則講明乎是審乎此則經籍之記載斯道之顯晦可得考矣
HVH_013_0093_0014	其後與道同以極古昔雍煕之盛竊謂道之從来豈無所本哉盖陰陽五行妙
HVH_013_0093_0015	合而道原於太一胚胎之始往古来今由斯茲道存於日用之間而明道闡教
HVH_013_0093_0016	以覺後人道之傳則在乎聖賢此道之所以来也因是求之中庸為傳道作也昔
