HVH_021_0015_0001	馬腹何取鞭之長 象齒宜戒身之楚
HVH_021_0015_0002	遇楚師於繞角 敗秦師於𣦸首
HVH_021_0015_0003	分城數子置胙欺夫加罪欺臣
HVH_021_0015_0004	獻公娶驪姬 平公 寬也
HVH_021_0015_0005	姜 惠公烝賈君 獻公烝齊姜
HVH_021_0015_0006	靈公使婦人載畚以過
HVH_021_0015_0007	朝厲公與婦人先殺而飲酒
HVH_021_0015_0008	獻公殺子而信讒 悼公有兄而無慧
HVH_021_0015_0009	惠公殺去羣公子 厲公殺去羣大夫
HVH_021_0015_0010	姪從其姑女為人妾
HVH_021_0015_0011	景公之疾驗於夢 悼公之疾見於卜 平公之疾成於蠱
HVH_021_0015_0012	文公稽首而拜賜 悼公跣足以謝罪
HVH_021_0015_0013	文公之霸在戰 悼公之霸在服 鄭 平公之伯在謀 齊
HVH_021_0015_0014	文之典刑景之教訓 內史過賜惠公命 王子虎策
HVH_021_0015_0015	龍岡 藏板
HVH_021_0015_0016	文公命 平公 築虎祁 景公 免軍府 靈公 厚斂以彫牆 平公 怒好音而崇臺
HVH_021_0015_0017	懷踰牆之恨 示彼以法 忘竊藏之忠 辭須以沐 文公 伸不知
HVH_021_0015_0018	不仁不武之訓 進知禮知義知信之箴 文公 置小惠而雪大恥 假公濟私出殺
HVH_021_0015_0019	焚之甲既與居 然請遜被廬之蒐 一舉倏然為王 文公 臺胎樂實近女色黃
HVH_021_0015_0020	熊夢請祀夏郊 平公 非食非鬼蠱辨於醫 駘為參為汾祟 徵諸卜 平公
HVH_021_0015_0021	水声靡 師延音乱 平公 臺上彈人宮中伏甲 靈公 賢可戮於國中 聖已拒於河
HVH_021_0015_0022	外 簡公 叔嬴殺懷 懷德忍心 畀毀軌 居隱刑 贖貨 文公 懷安於齊 姜亦有
