HVH_027_0012_0001	南音詩韻。
HVH_027_0012_0002	見夜飛螢。
HVH_027_0012_0003	公有句吟云。
HVH_027_0012_0004	點煳恨躬生點涅高聰特志。
HVH_027_0012_0005	憐運撐書。
HVH_027_0012_0006	仇雖未報。
HVH_027_0012_0007	而場屋索和名。
HVH_027_0012_0008	時公平逾貳拾矣。
HVH_027_0012_0009	行年貳拾如乙丑年。
HVH_027_0012_0010	卜得男。
HVH_027_0012_0011	命名曰苐不幸早没。
HVH_027_0012_0012	貳拾陸丁卯年。
HVH_027_0012_0013	繼生女。
HVH_027_0012_0014	命名曰艾。
HVH_027_0012_0015	更早没貳拾捌己巳年。
HVH_027_0012_0016	生男。
HVH_027_0012_0017	命名曰勍。
HVH_027_0012_0018	參拾辛未年生男。
HVH_027_0012_0019	命名曰勗。
HVH_027_0012_0020	叁拾貳癸酉年又生男。
HVH_027_0012_0021	命名曰勵。
HVH_027_0012_0022	不幸早没公時年外而立。
HVH_027_0012_0023	而公之親毋平已逾知命。
HVH_027_0012_0024	命知公上事老親珍甘備養。
HVH_027_0012_0025	有人患糖（飴餉）公有句云。
HVH_027_0012_0026	（拾壹）藪樹樽堆糂甃老毋謝乳珍重薦未幾下撫幼子教育徐施而敏學益勤科舉不縻至平叁拾陸公之親毋命終而公决科之學淚然矣皇朝嗣德時朝廷委加恩科公前後應試者致科而中場亦屢之矣。
HVH_027_0012_0027	從此設講授徒。
HVH_027_0012_0028	弟子信從者眾公之門翕前後近數百人。
HVH_027_0012_0029	至平肆拾肆鄉試需人公出而鄉政矣貳年前後貳次為茶主舉邑孚心至平肆拾伍熊夢因占命名曰勸自叁拾叁至叁拾肆平間生下壹男壹女皆早没生下者柳長成
