HVH_016_0032_0001	朝歲試點畫更理心涵應待問誦弦化久勉無難添經啟邑天闌
HVH_016_0032_0002	潤幸藉先生作晃冠 第八句訓導改爲我故人乘成一着
HVH_016_0032_0003	汗扶擁人書于座右 新春
HVH_016_0032_0004	磅礴周流此一元 春來冬去逼前軒 詩書誦讀洞唯子 名利忘抛
HVH_016_0032_0005	樂抱孫兒景 平高淇姓予准知平 日善操存康強逢 吉宜壽
HVH_016_0032_0006	酒酌一樽兮又一樽
HVH_016_0032_0007	餞大庭幸人阮名之丹鳳訓導詩
HVH_016_0032_0008	天閣下詔送攸臣 吾子文章逼出羣 模範此回新詩命 斗升喜
HVH_016_0032_0009	動及娛親毫城月 屋偏凝色鳳翥風 人樂坐□寄治琴 堂添
HVH_016_0032_0010	雅韻相將改敬鼓明廳
HVH_016_0032_0011	丹鳳尹海天幸人阮算
HVH_016_0032_0012	七月初旬過丹鳳尹阮名丹鳳峒就有未□留□而返
HVH_016_0032_0013	尹洪國咸守 怙同行縣□□在桂陽社
HVH_016_0032_0014	天入秋初興轉清 冠童攜手步輕□ 運闊莫□客心沉 琴韻新
HVH_016_0032_0015	訓導阮名陞為令尹前令尹陞為國咸府知府
HVH_016_0032_0016	聲續有聲
HVH_016_0032_0017	國咸知府和吾夫子元韻 海天阮算
HVH_016_0032_0018	河海風流客塵清 山郊歸去□□情
HVH_016_0032_0019	□□一字□□□□□□□聲
HVH_016_0032_0020	丹鳳尹和吾夫子元韻 阮答
