HVH_032_0021_0001	天子其以我爲子乎天神曰不唯乃以玄冕戴石之首而加之以黃袍告以禋乎
HVH_032_0021_0002	輦轂衣霓武等參列而环侍文武百官奉表勸進嵩呼之聲震動山
HVH_032_0021_0003	谷而石遂即眞矣故媚者或以井中白石與泰山上祀立石爲受命得幸值
HVH_032_0021_0004	孟夏三月日當午暑氣酷烈田禾焦枯到省以旱定灾沴氣晨石方生殿上南
HVH_032_0021_0005	向坐爚光逼目目幾眩乃悅然曰何以天子爲有田而荒以燥有目而眯以眇黃
HVH_032_0021_0006	屋之貴而屈於白日吾無所用天子爲天子爲君與世而以我爲天神相頗難之偶
HVH_032_0021_0007	而曰君自爲之無不可者石乃浴於石沼潄光於咸池賓於暘谷而升於若木駕
HVH_032_0021_0008	烛竜駟玄鳥控太和鳴調鐸遥聞人言曰黄燦爛天子出矣石蓋吾大幸其
HVH_032_0021_0009	莫如瞻其穹赤地千里人無不畏而避之者有片雲從東往来要吾之雲
HVH_032_0021_0010	甚厚而行疾其與也游焉日光爲所遮蔽竟不得達石忽訴苦于天神曰
HVH_032_0021_0011	我蓋雲上帝乃命巫山神女爲石薦枕頃之濃雲如墨膚寸四合郁々
HVH_032_0021_0012	纷々如雪非雲視之石是石既雲會遂乘乘遊于帝鄉仰凭雲室下而雨十餘日不
HVH_032_0021_0013	止江河漲溢岩谷𢌞注魚竜草木澤及庶物活者不知其數雲乃異其功而
HVH_032_0021_0014	遂見一巨石人立於洪海中雖甚雨不少動屹然爲中流砥柱陰美之曰
HVH_032_0021_0015	淳于何爲黑而貞乃可久也橫渚天以淸霽神人曰是其君有夙因有一種便是石
HVH_032_0021_0016	迫而免刑自身已化爲石矣與此石爲忘形交回顧塵中物一切皆爲瓦礫
