HVH_024_0044_0001	右半頁（自右至左）：
HVH_024_0044_0002	洪德十六年丁未科黃甲 臨洮知府
HVH_024_0044_0003	丁未科黃甲 仕至參政贈都御史
HVH_024_0044_0004	丁未科進士 仕至侍郎贈尚書郭美
HVH_024_0044_0005	洪德十九年庚戌科進士 仕至翰林院
HVH_024_0044_0006	庚戌科進士 仕至憲察使路美
HVH_024_0044_0007	庚戌科進士 仕至翰林侍制段騷隨
HVH_024_0044_0008	洪德廿二年癸丑科黃甲 賴騷珍
HVH_024_0044_0009	癸丑科進士 仕至臨洮府訓導
HVH_024_0044_0010	癸丑科進士 仕至承政使
HVH_024_0044_0011	（中段人名與地名）：
HVH_024_0044_0012	范駿 青貝社
HVH_024_0044_0013	阮富徐 青貝社
HVH_024_0044_0014	阮宣勤 汪下社
HVH_024_0044_0015	武免甦 武界社
HVH_024_0044_0016	范琮 安良社
HVH_024_0044_0017	范孝 汪下社
HVH_024_0044_0018	阮晛 仁里社
HVH_024_0044_0019	阮峴 紅里社
HVH_024_0044_0020	（底段草書）：
HVH_024_0044_0021	敷展識常唯徒傳塩
HVH_024_0044_0022	性存遜躱避外國
HVH_024_0044_0023	廷序騰文幽尚未
HVH_024_0044_0024	功履富貴徐徐
HVH_024_0044_0025	勤吏庶汘共斯摩
HVH_024_0044_0026	織碎句從登恒梶
HVH_024_0044_0027	襪峙綉防狂強沛
HVH_024_0044_0028	答和备事范怯
HVH_024_0044_0029	左半頁（自右至左）：
HVH_024_0044_0030	癸丑科黃甲 仕至吏部左侍郎贈尚書郭美
HVH_024_0044_0031	癸丑科進士 仕至錦衣衛正副車
HVH_024_0044_0032	癸丑科會元 仕至參政使
HVH_024_0044_0033	癸丑科進士 崇文館司訓
HVH_024_0044_0034	洪德廿五年丙辰科進士 仕至礼部尚書
HVH_024_0044_0035	丙辰科進士 憲察使
HVH_024_0044_0036	憲宗景統朝己未科黃甲 仕至參政使
HVH_024_0044_0037	己未科進士出身 仕至兵部單務清吏司郎中又監等王力辨武公宇裔
HVH_024_0044_0038	己未科黃甲 仕至監察御史
HVH_024_0044_0039	（中段人名與地名）：
HVH_024_0044_0040	阮正鄉 青貝社
HVH_024_0044_0041	陳紘 開山社
HVH_024_0044_0042	阮慶交 相溪社
HVH_024_0044_0043	范祥 仁里社
HVH_024_0044_0044	陳詳 桐溪社
HVH_024_0044_0045	黄福榮 育治社
HVH_024_0044_0046	黎攀龍 萬業社
HVH_024_0044_0047	阮先賛 曼泗社
HVH_024_0044_0048	阮先雙 安無社
HVH_024_0044_0049	阮幼欽 汪下社
HVH_024_0044_0050	（底段草書）：
HVH_024_0044_0051	耕治翰蕺衣阘悴
HVH_024_0044_0052	臨瞻詹顧娶瑞柿
HVH_024_0044_0053	犹張猫阐挂觿家
HVH_024_0044_0054	於裂划賜昇蓂
HVH_024_0044_0055	彰只倬輅遂
