HVH_005_0028_000001	鄭楷已死，震位于河寺，只封为国公。
HVH_005_0028_000002	末發復逼市，封以到爵專政，”放市名阮有整。
HVH_005_0028_000003	整自义安入尚院後，月际，惠使武文主将兵祀北地，整败被执，淀为所素，河内六廁殺帝，算惠自三皇帝巳，元光中辰一千七百八十年十二月元二日，年十月，年五日，破奇走，惠至，遣将械追之，熙守奔中国，惠自称北斯王，淀回其国都。
HVH_005_0028_000004	熙寺以情兵主收後北。
HVH_005_0028_000005	北惠星融朱走清请公礼型三。
HVH_005_0028_000006	一千八百四年，世祖奏请为季北矿皇，以官一年七百九十三年，即癸丑年十月十六日，路寺崩，己国海清玩文，惠纳贡于清，且表请次年戴请皇氏。
HVH_005_0028_000007	28，西度失国，天命已去，遂舍意西按察来，封惠为安南国王。
HVH_005_0028_000008	長久芳元养因利相至，公程宣戦，元主乘彼内兆到焉。
HVH_005_0028_000009	C新朝既灵，观其表面，似有下年第一氟。
HVH_005_0028_000010	元朝致勝，匈马来用兵，三学机属为三助。
HVH_005_0028_000011	铁辰。
HVH_005_0028_000012	葡人市借以兵王谢三事，待牧師少周信後，王例阮岳。
HVH_005_0028_000013	阮惠相攻耳。
HVH_005_0028_000014	王后已安，先主夺到，表空牌肉，感哉！
HVH_005_0028_000015	人世计，每有戰捷，其改飘增。
HVH_005_0028_000016	况文信意下南坏，退回萄仁，王遂不载，一士不绝，一弦，花容生领其地，找漆二省山，共译者是罪。
HVH_005_0028_000017	士民伏制，相後亦以接指兜。
HVH_005_0028_000018	是辰多低肢，牧師來接，检处，王事不遑，所谓或具外者是。
HVH_005_0028_000019	总奋具至施千枝，後败月四倫，那载大碳，歌呼先活屋及深呢二艦，戴薬碑一青，至油碑咖何费家护护。
HVH_005_0028_000020	一千七百八十八年九月，多穆腾多艦法永吉舰莱蘭，为不多张敵，不故把多衣島往麻哩澳门購買薬弹及船舶，县年冬返节宜证一千七百九。
HVH_005_0028_000021	年七月二十四，服下錯直沉借王郎洞遣大法将校亦仗策重渠九已後请城烏非为多殊年学之防甚。
HVH_005_0028_000022	牧師自外海喜可如迷都，探船，冷施为質，淀航哩及澳门载回跑确世新寡策日，牧師乘迷部探戦服人平二般，载年大年用育到法人永募而來者示眾食王和定下南坏通王子及为尼繁率柔铺，稱移加多，廣呼科衣范衣幽府，公多迷，故那波離移诸人，其太半皆大法海法人輔王也，或智或勇，其表人物不可不且迹思有品，烏为繁变解麻，不有系多与至則皮偏军中也。
HVH_005_0028_000023	刘意为王，整顿车政，造艦，探演水法，请年收師体舒，归到海者，有曰常飞兵端，兼用戰，信，則五分三而已。
HVH_005_0028_000024	又皆为式，軍士則不平。
HVH_005_0028_000025	费老西山及阅王万控，知多胶，知射法，且末程權德，知有律，大跑准水郎，有弘法，年則未常用心兴政，腐服名世，今則鎧仗精就滋横公没而执鐵火意心
