HVH_027_0054_0001	督率軍大諒平肆鎮兵馬往而征之。
HVH_027_0054_0002	駐軍于安豐縣扶琴社。
HVH_027_0054_0003	張大王祠宿禱。
HVH_027_0054_0004	夜間，耆吏朱張公兄弟全未告曰：賊黨現今在東葛屯兵而未妥宜早擊之臣等願陰扶助戰。
HVH_027_0054_0005	見奪賊魄，賊眾雖多，必来而就擒。
HVH_027_0054_0006	宗室醒悟大喜。
HVH_027_0054_0007	今幸得神人將兵来助。
HVH_027_0054_0008	至夜，耆吏朱果然見其賊兵千餘人，手如繩縛狀，皆不得脱，束手就擒。
HVH_027_0054_0009	宗室奏捷，凱還。
HVH_027_0054_0010	乃奉命與横扁壹幅，有題詩云：香江壹夜燭千葩，戰壘神祠誌不賒。
HVH_027_0054_0011	榻起更深默助，亭依路北重禋，過樓臺萬古川。
HVH_027_0054_0012	猶得沐恩，遺澤可歌。
HVH_027_0054_0013	民切思安，還易使。
HVH_027_0054_0014	闢山莫厭去，平車輦之。
HVH_027_0054_0015	歷朝護國功烈甚多。
HVH_027_0054_0016	歷代帝王不能盡述。
HVH_027_0054_0017	今特舉其大畧而已。
HVH_027_0054_0018	張大王肆𦘹皆列有祠廟奉祀，及著靈應。
HVH_027_0054_0019	其香火之民各有詳記事蹟。
HVH_027_0054_0020	惟有芳肆里張裔敕封泰山平等福神赫濯靈聲響應最著。
HVH_027_0054_0021	每遇大旱，地方官紳具有疏文，躬詣祠前宿禱。
HVH_027_0054_0022	其禮用齋，不用牲。
HVH_027_0054_0023	祭畢，即大雨如澍，民受其賜。
HVH_027_0054_0024	籍内何人心懷不良，敢為盜賊，必死。
