HVH_012_0033_0001	用皂角燒存性以烟将尽為度研末用
HVH_012_0033_0002	焼酒調服二許卽效
HVH_012_0033_0003	茘香散 治疝氣痛極凡在氣分者最宜用
HVH_012_0033_0004	之并治小腹氣痛等証神效又心腹久痛
HVH_012_0033_0005	方如後
HVH_012_0033_0006	茘枝核（宜微炒） 大茴香等分（炒合）
HVH_012_0033_0007	右為末用好酒調服二戔
HVH_012_0033_0008	承漿 內經曰癰發於嗌中名曰猛疽猛
HVH_012_0033_0009	疽不治化爲膿膿不冩塞咽半日死其
HVH_012_0033_0010	化為膿者冩則合亟甞冷食二日已此
HVH_012_0033_0011	必以猪板油煉浄服之
HVH_012_0033_0012	退傷寒結胸法 凡病傷寒結胸其有
HVH_012_0033_0013	中氣虚弱不堪攻撆向用者須以法外
HVH_012_0033_0014	罨之則滞行散和其效如神
HVH_012_0033_0015	葱白頭 生姜 生栗殼（此味加倍如無以子代之）
HVH_012_0033_0016	右用葱姜各等分 栗殼（代）倍之共擣一處炒
HVH_012_0033_0017	热用手巾或白布包作餅罨（臍）上則腹痛
HVH_012_0033_0018	處此藥須合二包一包冷則輪換罨之無不即效
