HVH_004_0004_000001	王時亦倚重公，遂以次女稼之。
HVH_004_0004_000002	哗。
HVH_004_0004_000003	公威權日盛，人咸有不表清逸，有文武才幹。
HVH_004_0004_000004	初举乙酉科卿试，又举丙戌科，造士恩测之。
HVH_004_0004_000005	疑。
HVH_004_0004_000006	或云"群公將取，天下傳之。
HVH_004_0004_000007	暉郡。
HVH_004_0004_000008	按圖識有一豕逐群羊之語，以為王與世子皆未命，而暉郡刻命當應此識好事。
HVH_004_0004_000009	日香，土胥壻字也，指暉郡日萃字也。
HVH_004_0004_000010	指公。
HVH_004_0004_000011	又辉郡首名者，又拱為草一田八之識，指黄宇也。
HVH_004_0004_000012	又云"土胥雲"月間黄花登寶人亦指。
HVH_004_0004_000013	由是公以形迹自嫌，使暉郡改名素履，而自以目疾去職。
HVH_004_0004_000014	至甲午年，公奉命南征，以暉郡自随，暉郡皆樂為用，屡破敵有功，聲譽日頭。
HVH_004_0004_000015	顺化平。
HVH_004_0004_000016	公尋卒，王以素得公用兵家法，为其将佐顺畏服。
HVH_004_0004_000017	又善調用人，木豪棟，钱抑豪强，止獄訟，境内大治，收用英才，分僚属其麾。
HVH_004_0004_000018	暉郡代领公所部兵，為乂安鎮守。
HVH_004_0004_000019	暉郡居镇弹盗賊，禁下有左右参軍。
HVH_004_0004_000020	左右竖事等名色，天下沸腾。
HVH_004_0004_000021	言暉郡將反，王日與信臣阮侃。
HVH_004_0004_000022	世子阿保郡公阮謀誅之，隐語以郡為十字。
HVH_004_0004_000023	益十字。
HVH_004_0004_000024	興乂字，近指乂安镇也。
HVH_004_0004_000025	嘗屏人密美，惟鄧氏知之。
HVH_004_0004_000026	暉郡所尚公主，日夜出八府中服事鄧氏。
HVH_004_0004_000027	鄧氏以其事告公主。
HVH_004_0004_000028	暉
