HVH_032_0008_0001	乃命舍人設室肆炕烟疔效日夜再宿舍人云公余敢不受教但公終當
HVH_032_0008_0002	避此房一宿已如此寧可再乎公弗唯至日舍人請侍左右公却之曰我好静居而强
HVH_032_0008_0003	思無取闹也遂入房闭户独似舍人静卧於外夜漏效刻间公鼾声似有所
HVH_032_0008_0004	掩抑狀大扣以警之而不放徨進頃之群起俱闻舍人亦就睡平旦早起以候
HVH_032_0008_0005	日既三竿房中犹寂々然舍人驚万分不定折门閂直入见公僵卧床上喉胸臆
HVH_032_0008_0006	间稍有人气急延医诊視医来尽力调治公略甦而醒徐谓医曰人言此房
HVH_032_0008_0007	有鬼我不之信初睡后亦无所见既而有眩乎吾前者其体形皆深色两目瞋
HVH_032_0008_0008	我又以手压我胸挠我膓将引我於無何有之鄉是真鬼矣此房其黑不可
HVH_032_0008_0009	居乎医左右顧笑曰公被毒耳非鬼也何以为鬼也我能禳之公奇之曰毒于何
HVH_032_0008_0010	有房中惟我一架上列書數萬卷耳豈蠹鱼作鴞羽乎君能治病盍为我一
HVH_032_0008_0011	除邪乎医乃取架上書悉排拭之徐塵影散四出笑谓公曰鬼去矣公请其術
HVH_032_0008_0012	医曰羞公去毒耳毒去即无鬼矣窺公所居墻壁帷幄帳皆綠色是色原由
HVH_032_0008_0013	石绿与铜绿染成日久生塵飞入口鼻所以致病今既去之可無恙也公曰佳列
HVH_032_0008_0014	吾見鬼何也医曰天下之物亦有结想而成者因非真也人言是房有鬼公耳之久
HVH_032_0008_0015	矣既染毒后頭昏脑痛夢魂顛倒故如有所见耳非鬼也公闻言醒悟乃
HVH_032_0008_0016	喜曰惜非公言吾辈当爲鬼所揶揄矣乃谢医者并命舍人檢房中宿物易
