sentence_id	sentence
HVH_005_000001	君代世次一记阮朝南浙学好扬词探書上记安南十五世纪农史如俱记大法車一记实城连际抓探言阳中西安你清平妖说呢紫書二一一点城央记探南国2泰东敬古場集Q安南初学史界卷VIo00n0ANHL94E80第一第土
HVH_005_000002	地人民位置别北为城地西常中下流世支接的西尺内又分为上游中中为中以地南国揭封汽海一居洋大法地三東边内三形万状中圳是一横南地县两其此特举其崖界年洋改预看东洋地奥新之水利耕顺便年夏汛岗风起這二江水升涨倍
HVH_005_000003	常間有積至十西尺上下。
HVH_005_000004	三折林草木葱濕热氣所江河其最大者公江的由南西藏等處登源上流均县雕循至南北折中州界又分为请小江居民酒黑国也但既热而利植物不利诊人生春夏交寒热辰所由而發0国民特黄族三部落最初人衣山多生乃风潮澎一珥河中流
HVH_005_000005	再九江中流繁漫成堂又越尚大但富人種傳播上代必有他稣融合圆頂方趾同化天演三師今上游大有子遺昼古越人青属也他如人城名人名在番桑海鸿方国四年蓝永为大同世界纪念越史所由作也高蛮人则又為一。
HVH_005_000006	自民族进化目的全注射南方又屡西南北诸鄰国大起御实就献则明愈眼不知O第二篇鸿庵氏之出现文蜀陽王开香百卵五十子海五十子帰山種稣均涉诞次定越史嗣御批曾其荒無替矣。
HVH_005_000007	鸿庵氏越南第一首也史载居水府俗尚文身世夫国号赤鬼雄生尋改文郎都峯東变南海西抵巴蜀南接胡孫北至洞庭分為十五部但目久地各铁洋嗣知御批且云安南国界越史久已失傳無徒考迄今論疆界者或以為但台有地所全境中三區
HVH_005_000008	耳则称建都州為據德外纪载自降生前二千八百七十九年至二百五十人年间事属傳益當辰代日体未先学界未昌一史街代也其後史臣意進述越南立国最专与以傳之更创耳。
HVH_005_000009	東英縣世傳雄王季世有女谓很蜀王请求将不当秦帝中国X-秦三十三年享.南征夺其地合南海力一国置病率事中止将趙和典蜀不利至生百年再攻取其国自立为南越斗外化载安五多得金神助初城柴随溃通金现自称江使助成脱其
HVH_005_000010	爪献为概甚灵一射殺以计位戰败退守都山知有神弩不可敵詐請和遣子仲如入質娶女媚珠仲始娟珠爪告帰省日考後两周失和当急放毛誌路可来救歸语他復举各来侵王举机折寻败走坐娟珠马上尚奔至南海暮夜山呼江便何在金復勇出
HVH_005_000011	日乘2歸螺城导亦投尽自後人得明珠水洗之色倍先马役者贼也王乃娟珠自投于海娟珠血流水面蚌蛤吞化为明珠仲始按鹅毛跡進至海岸见娟珠已死哀痛不已抱其史臣关時仕日此事诬誕甚不足信三百年早雪已明智力第一美也前吴
HVH_005_000012	仕連曾云天下事莫自我主主使安王明智穷理国自久安矣何乃自父已遇歸神助耶安如欲骤强国e第三篇支那文明之輪入著也连其官至礼部参知仕官至都御史兼充史馆皆當朝维宦。
HVH_005_000013	哲理至周亦可遠点矢世道有升降而波及碍遍東撫斯炎庵而前二千餘自趙伦秦更帝越支耶势力闽始直接於南土矣阙其源则子其民各租其地执主组者均排有特别主虽十一而税三日而役征输有成侧也但民族主美记一变而超入贵族主美
HVH_005_000014	则子子是制定就中考其国诚自由民權为世界何等物固建展代制三神精也救。
HVH_005_000015	當其盛也日观日朝考礼正刑一以尊天子追其为佣農矣工为佣工关举一切劳社會夫耕婦職尽埋頭款图困等平民所谓出操理入执工意安尚君弱臣强冠履倒置自王自伯演成爪分豆剖天劇場益專制之造固其传有自来矣0晦冥凡雨你等乾
HVH_005_000016	坤其间必有世者出孔子圣辰也以纪元前五百五十一年诞生三歲丧恢为嬉岁常俎豆设礼史好园古路年二十出仕二十四母汉居爱三年志古書国人仰其行遣子弟来学者日多倫理政海礼乐业美之环聘年大十反乎曾傳授子弟删定六年七
HVH_005_000017	十三卒孫子思嗣隔世路有孟子出向其傳故仪倫道特困地课创耳。
HVH_005_000018	鲁君同之使未聘第住所至庙皆燕察而誌为曾司寇三年国大四方民统者日驰盘0北世七其为道也不处人倫日用其也可行天下世种如老氏虚说徒人不思玄想部孟子吉道律精華关此摘三法语为学植播一良稣子焉子曰子去仁恶乎成又
