HVH_021_0038_0001	人品明季授土陶叔授民、 殤公不敢獻公無信。
HVH_021_0038_0002	文公節而儉出公愎而虐。
HVH_021_0038_0003	文公務材訓農武公飲酒悔過。
HVH_021_0038_0004	文公讓國宣公得衆。
HVH_021_0038_0005	視居奕棋言如璽。
HVH_021_0038_0006	土獻公 獻公出亡而無憂色出公拒父而效兵言。
HVH_021_0038_0007	文公不禮于重耳獻公啟辟於林父。
HVH_021_0038_0008	許穆夫人唁衛使而驅馬心憂釐桓夫人思襄公而帶絰毀望治賓客則有仲叔治宗廟則有祝鮀治軍旅則有王孫。
HVH_021_0038_0009	靈公 以上人門数目七族三都素称强盛五男二女風號殷繁。
HVH_021_0038_0010	乘舟二子凱風七人。
HVH_021_0038_0011	馬歌五六德。
HVH_021_0038_0012	咏二三。
HVH_021_0038_0013	嗟食貧於三歲期有成于三年。
HVH_021_0038_0014	踈牝三千章車三百。
HVH_021_0038_0015	聿我二邦服念五六日。
HVH_021_0038_0016	四方其訓百禮以洽。
HVH_021_0038_0017	寬綽而歌重較委龍岡 藏板跂而騏六珈。
HVH_021_0038_0018	周書三十九篇而誥獨附於八乗詩一十五國而風已列其三、其富税十畆之桑陰勒三爵於盞史。
HVH_021_0038_0019	咨陶叔以分畺命之民而族有七偕中旄以啟宇錫之命而誥有三、 其富則稱五甖其穀則有二種、 飢民七族甞民九世。
HVH_021_0038_0020	上帝叩之遷曰二百年盡共滕之民為五十人。
HVH_021_0038_0021	去六頃以效六適速禍也得一夫而失一國非謀也、 君則年九十而猶箴臣則年六十而己化、文公以三十乗而起家惠公生十五年而即位、 獻公出亡十二年莊公出亡十七年。
HVH_021_0038_0022	出公使三匠乂削憤以五人介。
HVH_021_0038_0023	獻公之罪焄以三靈公則幸近其二〇勻夫人重錦三十两復衞國革車三十乗。
HVH_021_0038_0024	為自齊者服則五称級於晉
