HVH_024_0037_0001	自旣葬之後，廼於三月十四日誕妃。
HVH_024_0037_0002	妃有星度八協，至愛妃。
HVH_024_0037_0003	容貎姿容絕世，明慧過人。
HVH_024_0037_0004	特有本鄉朝士阮(旁注：国博范華杜科成辰職員任逝；又云，後領鑛務洗殼，倡先朝願継達古城)貴衙蜂媒來聘娶，妃不肯嫁。
HVH_024_0037_0005	其兄叙事國語文曰：(旁注：停室男俔同身室遥包匳居障状持)二十歳，適奠末其父避死乱携居高平鎮大三，因假男子服從師受業，博學能文，特秉地出之祥。
HVH_024_0037_0006	存属莫朝，莫氏公試于高平，士子多應擧，而妃預中華第一名。
HVH_024_0037_0007	其師次之，師唾首青切於藍而勝於藍。
HVH_024_0037_0008	及八曇日，莫王見其貌面女人，詢知其實，逼納之，合名糲沙。
HVH_024_0037_0009	莫亡遜居山谷中，為野軍保蓺，妃謂軍士曰：“汝輩旣預戎當以見汝主，不多而礼不狀，惟有劍耳。
HVH_024_0037_0010	”汝輩及各所功累之，乃以進謁，甚見寵遇，令首伴本給貴兵民。
HVH_024_0037_0011	遂頃于笛租陂池市渡及諸稅源給賜以寓禄。
HVH_024_0037_0012	自課以後，軍行年餘，畏羞答後稅例，蚤已鏡郡。
HVH_024_0037_0013	又賜好蔭百頃圭田以配其本社，上等旣情之感。
HVH_024_0037_0014	又等列例之恩，共会保敬後神。
HVH_024_0037_0015	但妃境經里且了通仮教太牢厚礼，必祟因立約定，設几內外。
HVH_024_0037_0016	先祖忌日，節腊及德老生日忌時，十月九日並用齋茶無忝。
HVH_024_0037_0017	禋報香亦为(旁注：任捕頭)常例。
HVH_024_0037_0018	脱諱及姜林藥務農寺暨親属弘祖陽王立，訪未女學士以叙宮人左右以应对。
HVH_024_0037_0019	陽王後召妃入宫，命敎宫人，号曰礼師。
HVH_024_0037_0020	凡事雨朝皆以文章供奉，不離左右，每有顧眤，问引経史，令古事流以讨上。
HVH_024_0037_0021	称嘆之几，令就卷及群臣文疏皆經賜妃考定。
HVH_024_0037_0022	至辛未科，石廷試阮寿春中第一名其文字亦能流牋者，上以此问妃。
HVH_024_0037_0023	妃陳上加其聘各先是行。
HVH_024_0037_0024	反説言曰：“我文擧朝不能及，意老惟我好礼師也，此共她同外宗後果如其言。
HVH_024_0037_0025	其滝蓺此世傳花善勧獎後進。
HVH_024_0037_0026	毎月二期，令家人作饌，令本鄉斯文肄習古子。
HVH_024_0037_0027	其主題自京差人将田徐行反説交八斯文会諸員即結卷唯
